method,inference_nstep,start,start_type,particles,iterations_requested,updates_completed,termination_reason,elapsed_seconds,output_selected_iteration,output_selected_elapsed_seconds,initial_pseudo_loglik,final_pseudo_loglik,minimum_ess,maximum_invalid_fraction,maximum_backward_fallbacks,total_backtracks,gamma,m,epsilon,beta_trend,sigma,tau,bs1,bs2,bs3,bs4,bs5,bs6,omegas1,omegas2,omegas3,omegas4,omegas5,omegas6,S_0,I_0,R1_0,R2_0,R3_0,raw_0,raw_1,raw_2,raw_3,raw_4,raw_5,raw_6,raw_7,raw_8,raw_9,raw_10,raw_11,raw_12,raw_13,raw_14,raw_15,raw_16,raw_17,raw_18,raw_19,raw_20,raw_21,raw_22
DS order-1.5 block Gaussian,20,22,global-box,5000,5000,51,time-budget,802.6173951909877,45,701.153409802937,-17390.374960296216,-3849.5441620433676,1.0,0.5166,0,0,24.514389704686423,0.13611289676125343,17.635904230383304,0.0,2.09569460495022,0.24286367100009354,0.7701580549877651,6.464733482901559,-1.9006146873147316,4.605951317970131,3.4639607065493574,4.448885866684962,-2.2570853565564817,-4.911402944584909,-6.7071080665798615,-4.0438873453381605,-8.135125433795267,-3.7542252878620586,0.312472747052613,0.2351549193718156,0.037807117788217534,0.27554028713579315,0.13902492865156071,3.199260280022214,-1.994270614363313,2.8699368371329825,0.0,0.7398850520978498,-1.415255017765799,0.7701580549877651,6.464733482901559,-1.9006146873147316,4.605951317970131,3.4639607065493574,4.448885866684962,-2.2570853565564817,-4.911402944584909,-6.7071080665798615,-4.0438873453381605,-8.135125433795267,-3.7542252878620586,0.0,-0.2842727276258161,-2.112019869767176,-0.12578340524206122,-0.8098639960741795
DS order-1.5 block Gaussian,20,23,global-box,5000,5000,1,non-finite-path-or-score,28.97787172498647,1,28.977840225910768,-8580.036354230204,-7088.004257811284,1.0005574521440874,0.11159999999999992,0,0,10.087241935474218,0.4035174893966247,27.47533623068,-0.007217320783588813,2.1069439706241018,0.31119215347590223,2.9219249693501044,1.6864302315985447,-2.4544665499724325,6.461447902723699,7.788844267978584,2.454730235858082,-7.310370166448322,-6.031369362909564,-2.042103705346902,-3.865508076665018,-4.3990216763078065,-2.9646390806190768,0.3213151232698659,0.3213151232698659,0.001996847090391966,0.24944351475377435,0.10592939161610197,2.3112714506640404,-0.9075354479819144,3.3132887379101645,-0.7217320783588813,0.745238542453339,-1.1673447007621538,2.9219249693501044,1.6864302315985447,-2.4544665499724325,6.461447902723699,7.788844267978584,2.454730235858082,-7.310370166448322,-6.031369362909564,-2.042103705346902,-3.865508076665018,-4.3990216763078065,-2.9646390806190768,0.0,0.0,-5.080852852171051,-0.2531898382264312,-1.1096495786861635
DS order-1.5 block Gaussian,20,24,global-box,5000,5000,51,time-budget,802.6816034180811,45,701.2255930760875,-7185.902933041312,-3935.471424175646,1.0,0.483,0,0,16.486792715509157,0.3638135616634973,0.5873092010924589,-0.01,3.7705571871228454,0.29295580242139774,2.340511574132632,4.333782363192699,-0.5106868553974961,1.9405559007219835,4.295020654474881,3.1903935742236054,-6.624060423483944,-1.4210202365244515,-10.0,-3.385846554658016,-7.800994796808423,-1.4844249915091896,0.28426815587360615,0.15612920038605815,0.17367035044583012,0.16481083686445067,0.2211214564300548,2.8025596188979045,-1.0111137357933073,-0.5322038498090456,-1.0,1.3272227855321126,-1.2277335263214824,2.340511574132632,4.333782363192699,-0.5106868553974961,1.9405559007219835,4.295020654474881,3.1903935742236054,-6.624060423483944,-1.4210202365244515,-10.0,-3.385846554658016,-7.800994796808423,-1.4844249915091896,0.0,-0.5992341314193212,-0.492759038856622,-0.5451196305110566,-0.2512058763347046
DS order-1.5 block Gaussian,20,25,global-box,5000,5000,47,time-budget,806.5879476199625,41,712.9795141709037,-25689.08008314945,-4155.083392689434,1.0,0.5216,0,7,23.12728346320903,0.4895853559234087,3.9594235573762653,-0.0058977776266681435,4.960812706104563,0.5,-1.5868544688871173,6.34855446615232,-2.143822352906331,5.236991829394947,0.9908330842987088,3.7107016540066438,-5.354412748458178,-0.5886816815401327,-6.503305734096685,-9.136167903994249,-1.0113472016866485,-2.007533049486098,0.2026862874262994,0.06892328485907735,0.19831681819426014,0.16365035498700553,0.3664232545333575,3.141013022878571,-0.7141964585184978,1.3760984483514593,-0.5897777626668144,1.6015695793517675,-0.6931471805599453,-1.5868544688871173,6.34855446615232,-2.143822352906331,5.236991829394947,0.9908330842987088,3.7107016540066438,-5.354412748458178,-0.5886816815401327,-6.503305734096685,-9.136167903994249,-1.0113472016866485,-2.007533049486098,-0.5921296968281673,-1.6707950259614464,-0.6139232545972255,-0.8060569282697615,0.0
DS order-1.5 block Gaussian,20,26,global-box,5000,5000,51,time-budget,805.4793392380234,45,703.5971398190595,-83346.13682621837,-4125.905800002563,1.0,0.5546,0,0,10.000000000000002,0.5959838983986375,16.660725999045948,-0.005788749697968811,3.858226300875648,0.4974751751553166,1.2403477203259232,3.842240197867041,-0.7125151231776591,2.055036343689531,2.870249133121216,2.7422606712595368,-4.842015645302223,-10.0,-5.702367214767298,-5.983700332089258,-5.379072867858825,-8.424681853235953,0.27801264212005006,0.08199465496835483,0.1235100562412225,0.27801264212005006,0.23847000455032252,2.302585092994046,-0.5175416283913976,2.813054213162937,-0.5788749697968811,1.3502075703256262,-0.6982096228137886,1.2403477203259232,3.842240197867041,-0.7125151231776591,2.055036343689531,2.870249133121216,2.7422606712595368,-4.842015645302223,-10.0,-5.702367214767298,-5.983700332089258,-5.379072867858825,-8.424681853235953,0.0,-1.221012526081665,-0.8113440081011855,0.0,-0.15342305257419636
DS order-1.5 block Gaussian,20,27,global-box,5000,5000,51,time-budget,805.1472028170247,45,703.2452246580506,-9631.851073692216,-4330.000659174131,1.0000001954164328,0.8244,0,0,12.145611800441447,0.2951671084398851,6.536850690140151,-0.0015006097911303962,4.999999999999999,0.5,1.7576961447830284,0.5159823525887987,-0.24270214245286958,2.087303672780553,0.025185470894567085,2.034850597888105,-4.1345615307946275,-2.554546398879955,-4.113560751552184,-5.951948354987855,-3.32756438517397,-3.1072044854012617,0.30176209222240347,0.08933830060906572,0.2908611902090015,0.0010490630202914634,0.3169893539392378,2.496967935861492,-1.2202136137377328,1.8774555036385399,-0.15006097911303962,1.6094379124341003,-0.6931471805599453,1.7576961447830284,0.5159823525887987,-0.24270214245286958,2.087303672780553,0.025185470894567085,2.034850597888105,-4.1345615307946275,-2.554546398879955,-4.113560751552184,-5.951948354987855,-3.32756438517397,-3.1072044854012617,-0.049229256705643466,-1.2664378953957027,-0.08602204575027399,-5.710970785374846,0.0
DS order-1.5 block Gaussian,20,28,global-box,5000,5000,41,time-budget,804.3987821950577,40,764.2995417970233,-5901.493338900798,-4733.564124411818,3.9480565728967334,0.41979999999999995,0,14,18.39215316630863,0.09029971809533331,3.54656662091519,-0.005760818000952679,4.338807776969577,0.5,2.06866957814294,5.464873519538236,-1.2169565317268438,5.646987910819606,5.622258933644543,4.738242505338683,-3.6204505818908386,-1.4474979276291444,-6.4773918858212385,-1.9225175463349065,-9.926542885739552,-9.147538895562683,0.17561273874878397,0.1755714041617145,0.21629911357355164,0.21629911357355164,0.2162176299423982,2.9119241153029236,-2.4046209404319185,1.2659799864589503,-0.5760818000952679,1.4675996046063942,-0.6931471805599453,2.06866957814294,5.464873519538236,-1.2169565317268438,5.646987910819606,5.622258933644543,4.738242505338683,-3.6204505818908386,-1.4474979276291444,-6.4773918858212385,-1.9225175463349065,-9.926542885739552,-9.147538895562683,-0.20838101211902949,-0.20861641333571182,0.0,0.0,-0.00037678833635470567
DS order-1.5 block Gaussian,20,29,global-box,5000,5000,49,time-budget,855.4675523099722,45,702.2600855269702,-23457.332127564092,-3932.34370523048,1.0,0.7424,0,7,14.517456633325887,0.5840359518526238,20.13360659625345,-0.002998974610280567,2.0985561163615847,0.48739469143063874,-0.156271586213306,4.923150175473724,-2.0628842424449716,2.6328126427744105,3.6584184395490165,3.2400880074101606,-3.2224291737849997,-3.041298146722019,-10.0,-5.513824773857121,-8.404706353848495,-6.947327304716619,0.3507962542132785,0.3005672222874203,0.1845633372445272,0.04385825346787824,0.12021493278689578,2.675351831059736,-0.5377927366572556,3.002390388842147,-0.2998974610280567,0.7412495446117559,-0.7186810294575697,-0.156271586213306,4.923150175473724,-2.0628842424449716,2.6328126427744105,3.6584184395490165,3.2400880074101606,-3.2224291737849997,-3.041298146722019,-10.0,-5.513824773857121,-8.404706353848495,-6.947327304716619,0.0,-0.1545341521862739,-0.6422128867318814,-2.0792426610166688,-1.0709243353788191
DS order-1.5 block Gaussian,20,30,global-box,5000,5000,41,time-budget,803.9590290030465,40,763.9143766299821,-37669.04287768288,-4847.436559306382,1.0,0.43999999999999995,0,14,31.057837114395358,0.08501917140679692,4.192594290900561,-0.01,4.999999999999999,0.5,4.0,4.061249418249475,1.861719170536434,3.016844877400339,6.566842745779012,7.456307761873561,0.0,-5.034487074286145,-5.426203680082752,-7.175674004058813,-0.36260787730428345,-3.504618321703439,0.3245147363662884,0.3276264089153054,0.22650402431052788,0.061201438130513194,0.06015339227736497,3.4358511795713076,-2.4648785019611705,1.4333197048381268,-1.0,1.6094379124341003,-0.6931471805599453,4.0,4.061249418249475,1.861719170536434,3.016844877400339,6.566842745779012,7.456307761873561,0.0,-5.034487074286145,-5.426203680082752,-7.175674004058813,-0.36260787730428345,-3.504618321703439,-0.009543014380458494,0.0,-0.36911124988377064,-1.6777032739176394,-1.6949761242303079
DS order-1.5 block Gaussian,20,31,global-box,5000,5000,50,time-budget,823.2925042669522,43,708.228257134906,-17757.825617290153,-3887.167034152225,1.0,0.5256,0,3,31.250055109280417,0.088206860489595,28.159852201364828,-0.0029876323142159983,2.744447168014677,0.32650201101441456,0.6905877551048689,5.742803154917656,-0.7977903376450909,3.8486640239760903,3.3220567109084,4.44184597099552,-0.19758789391874515,-2.1530792364974696,-4.591689653853738,-5.430944684298267,-7.688857535823865,-5.047474092362513,0.46989053263377145,0.3862760543817623,0.013225958984783626,0.0564322924823828,0.07417516151729978,3.442021139677829,-2.4280705356656163,3.3378972827449895,-0.29876323142159983,1.0095796586912316,-1.11931917097554,0.6905877551048689,5.742803154917656,-0.7977903376450909,3.8486640239760903,3.3220567109084,4.44184597099552,-0.19758789391874515,-2.1530792364974696,-4.591689653853738,-5.430944684298267,-7.688857535823865,-5.047474092362513,0.0,-0.19594747763962253,-3.5703182701441376,-2.1194582018892216,-1.8460704145954803
DS order-1.5 block Gaussian,20,32,global-box,5000,5000,49,time-budget,867.0056032630382,44,700.3925163559616,-7028.889054566478,-4015.015027145113,1.0000074058068167,0.8028,0,8,12.643157871192603,0.31681052279989785,17.300686359008985,-0.006991624881197721,3.375793042726194,0.5,-1.1184298106326571,4.404464997171316,-2.9969227334990984,3.026950288488404,3.507403488262816,4.077069240970417,-2.07834337248449,-1.5305130187040639,-4.277137892063893,-9.90787981821827,-3.2179093938083034,-8.895085463725675,0.332308485470357,0.22900710718650502,0.04123991592359651,0.08960872607930012,0.3078357653402412,2.537116189097692,-1.1494514036847339,2.850746174647899,-0.6991624881197721,1.2166302723446214,-0.6931471805599453,-1.1184298106326571,4.404464997171316,-2.9969227334990984,3.026950288488404,3.507403488262816,4.077069240970417,-2.07834337248449,-1.5305130187040639,-4.277137892063893,-9.90787981821827,-3.2179093938083034,-8.895085463725675,0.0,-0.3723106717842926,-2.0866570901692576,-1.3106110060891036,-0.07649729926445355
DS order-1.5 block Gaussian,20,33,global-box,5000,5000,47,time-budget,805.9760309929261,41,712.5448858889285,-20076.235541868893,-4020.703578866345,1.0,0.6446000000000001,0,7,10.725008662788523,0.5674798983959812,28.197532001381557,-0.008485800475270457,2.5690630559971686,0.4610035290411616,-2.7225210712468053,5.1846084249334226,-2.302447991996822,2.4383840349335335,4.371430757371872,2.160012148810415,-0.9006976939107454,-6.750129419681661,-5.043777473954967,-9.951647971123371,-8.537218349912246,-3.9167748534050992,0.19089019984704553,0.03780384991538936,0.27965916961918547,0.3593614317479159,0.1322853488704638,2.372578272532964,-0.5665499515825969,3.339234456432667,-0.8485800475270456,0.9435412627845499,-0.7743495808278879,-2.7225210712468053,5.1846084249334226,-2.302447991996822,2.4383840349335335,4.371430757371872,2.160012148810415,-0.9006976939107454,-6.750129419681661,-5.043777473954967,-9.951647971123371,-8.537218349912246,-3.9167748534050992,-0.6326302628678255,-2.2519177086499402,-0.2507570453456271,0.0,-0.999367332433895
DS order-1.5 block Gaussian,20,34,global-box,5000,5000,51,time-budget,803.7942682469729,45,702.1068098309916,-8895.329151022812,-3942.7106316241156,1.0,0.46799999999999997,0,0,11.632182249755738,0.27283352243525866,9.303191436199045,-0.004875629846356649,2.189006861706386,0.3074987619284124,0.9109138992239022,4.520870171530964,-2.903391680317405,1.5169740932188898,4.675870929172599,2.4322028000877935,-4.386406692916259,-1.2173023180949283,-7.213761355225206,-6.025558084152362,-8.600801662723697,-3.785471638563328,0.30508923636505636,0.14364537652976575,0.15860639313508842,0.08756975760503312,0.30508923636505636,2.4537755886322925,-1.2988934777351118,2.230357506474199,-0.48756298463566494,0.7834479531664141,-1.1792842179927352,0.9109138992239022,4.520870171530964,-2.903391680317405,1.5169740932188898,4.675870929172599,2.4322028000877935,-4.386406692916259,-1.2173023180949283,-7.213761355225206,-6.025558084152362,-8.600801662723697,-3.785471638563328,0.0,-0.7532567128147206,-0.6541786938674031,-1.2481686065443094,0.0
DS order-1.5 block Gaussian,20,35,global-box,5000,5000,41,time-budget,805.8681960490067,40,765.8235591349658,-4758.843698890432,-4361.709838945879,1.0,0.4546,0,14,27.88284058890672,0.19827270023898386,5.569798024075239,-0.0021854725697342315,4.999999999999999,0.5,1.1792776536571168,6.994950742631857,-2.0637237914485222,1.8474208369646672,2.78339634477406,7.801381134212495,-3.663146233644066,-6.5217878402420935,-2.4622941072726565,-5.554563385852251,-2.2943539145363308,-0.803612172157072,0.37780304283333194,0.37780304283333194,0.03040839282061218,0.1107282337729692,0.10325728773975473,3.328011466961479,-1.6181119219251408,1.7173587918948816,-0.21854725697342314,1.6094379124341003,-0.6931471805599453,1.1792776536571168,6.994950742631857,-2.0637237914485222,1.8474208369646672,2.78339634477406,7.801381134212495,-3.663146233644066,-6.5217878402420935,-2.4622941072726565,-5.554563385852251,-2.2943539145363308,-0.803612172157072,0.0,0.0,-2.5196543591854157,-1.2272941542915878,-1.2971491963338955
DS order-1.5 block Gaussian,20,36,global-box,5000,5000,41,time-budget,804.9056037740083,37,703.2177181349834,-46099.43923582452,-5399.825510524789,1.0,0.3732,0,14,37.02730498540767,0.12088231746017909,15.204756285314707,0.0,4.425178566213459,0.5,1.4831633358879008,6.556860998491875,3.167755185282822,6.123874340663916,6.775860611348969,5.11980410094678,-6.748712026194877,-5.766962300193809,-1.706622794386863,-5.680644360635507,-1.9984084267933173,-2.573426268224467,0.1804715957467393,0.16072810226617595,0.14746855067056996,0.43423803038595643,0.07709372093055832,3.61165561305494,-2.112937789624828,2.721608292412556,0.0,1.4873106315922386,-0.6931471805599453,1.4831633358879008,6.556860998491875,3.167755185282822,6.123874340663916,6.775860611348969,5.11980410094678,-6.748712026194877,-5.766962300193809,-1.706622794386863,-5.680644360635507,-1.9984084267933173,-2.573426268224467,-0.8780194397573879,-0.9938787093190387,-1.079977903609863,0.0,-1.72857100419984
DS order-1.5 block Gaussian,20,37,global-box,5000,5000,47,time-budget,807.5491261449642,40,700.7386238039471,-44758.69772876881,-4250.286718426039,1.0,0.9702,0,7,20.200757264551076,0.05193196926933037,7.6417362524650745,-0.01,4.999999999999999,0.5,0.6378437808340955,3.7946928084113414,1.8594033787862847,2.4686516945157453,3.7120580600418536,2.0228340199737755,-6.38214704328697,0.0,-2.846709995224245,-8.898203697903059,-8.368225086567158,0.0,0.20662268472031053,0.23270159344365415,0.18615764613055266,0.19629933008813352,0.17821874561734904,3.0057200920486014,-2.9578207002325456,2.0336248355352584,-1.0,1.6094379124341003,-0.6931471805599453,0.6378437808340955,3.7946928084113414,1.8594033787862847,2.4686516945157453,3.7120580600418536,2.0228340199737755,-6.38214704328697,0.0,-2.846709995224245,-8.898203697903059,-8.368225086567158,0.0,-0.11886256706240743,0.0,-0.22316304333659828,-0.17011622933304166,-0.26674521415006075
