method,inference_nstep,evaluation_nstep,start,iteration,elapsed_seconds,pseudo_loglik,euler20_loglik,euler20_se,eval_particles,eval_replicates,evaluation_seed,evaluation_status
DS order-1.5 block Gaussian,20,20,29,50,855.4674958209507,-3932.34370523048,-3927.805614375771,,5000,1,32660433,ok
DS order-1.5 block Gaussian,20,20,30,0,15.667026494978927,-37669.04287768288,-7959.133320611884,,5000,1,32661380,ok
DS order-1.5 block Gaussian,20,20,30,7,108.52372526703402,-5761.749407011746,-5187.416037134719,,5000,1,32661387,ok
DS order-1.5 block Gaussian,20,20,30,13,209.60429663094692,-4928.195581107268,-4875.991006499323,,5000,1,32661393,ok
DS order-1.5 block Gaussian,20,20,30,20,324.0231247630436,-4877.404270704837,-4810.179388489091,,5000,1,32661400,ok
DS order-1.5 block Gaussian,20,20,30,26,404.1009110399755,-5300.385902981978,-5036.132326643945,,5000,1,32661406,ok
DS order-1.5 block Gaussian,20,20,30,30,543.9526087159757,-4880.54613389994,-4801.133660604147,,5000,1,32661410,ok
DS order-1.5 block Gaussian,20,20,30,35,610.693851419026,-4987.578901928835,-4897.54527927861,,5000,1,32661415,ok
DS order-1.5 block Gaussian,20,20,30,40,763.9143766299821,-4881.219721951674,-4798.8263271174055,,5000,1,32661420,ok
DS order-1.5 block Gaussian,20,20,30,43,803.9589768799488,-4847.436559306382,-4801.376388342507,,5000,1,32661423,ok
DS order-1.5 block Gaussian,20,20,31,0,15.660768138011917,-17757.825617290153,-17730.387447087447,,5000,1,32662377,ok
DS order-1.5 block Gaussian,20,20,31,7,108.64353656000458,-4771.407066252526,-4532.664386400807,,5000,1,32662384,ok
DS order-1.5 block Gaussian,20,20,31,13,210.38833787594922,-4312.669315059006,-4180.253646254478,,5000,1,32662390,ok
DS order-1.5 block Gaussian,20,20,31,20,325.4912625999423,-4014.8534958742057,-3922.9727071577367,,5000,1,32662397,ok
DS order-1.5 block Gaussian,20,20,31,26,405.5955912139034,-4015.857925661009,-3947.6936625863773,,5000,1,32662403,ok
DS order-1.5 block Gaussian,20,20,31,31,504.77818582300097,-4020.4086962584206,-4033.417215055545,,5000,1,32662408,ok
DS order-1.5 block Gaussian,20,20,31,39,611.5994300119346,-3940.1798757147653,-3913.0349268304017,,5000,1,32662416,ok
DS order-1.5 block Gaussian,20,20,31,43,708.228257134906,-4307.356219890506,-4102.116857136587,,5000,1,32662420,ok
DS order-1.5 block Gaussian,20,20,31,50,823.2924439659109,-3887.167034152225,-3816.3449809884382,,5000,1,32662427,ok
DS order-1.5 block Gaussian,20,20,32,0,15.716037558042444,-7028.889054566478,-6392.032765410786,,5000,1,32663374,ok
DS order-1.5 block Gaussian,20,20,32,7,109.19758178701159,-4241.740043276487,-4129.325336178761,,5000,1,32663381,ok
DS order-1.5 block Gaussian,20,20,32,13,210.9002096579643,-4232.946354640481,-4146.541237086882,,5000,1,32663387,ok
DS order-1.5 block Gaussian,20,20,32,20,325.9770022640005,-4192.109725401972,-4014.870689983444,,5000,1,32663394,ok
DS order-1.5 block Gaussian,20,20,32,26,406.0776603920385,-4028.153054933365,-3983.1125947141195,,5000,1,32663400,ok
DS order-1.5 block Gaussian,20,20,32,31,505.24498397496063,-4207.81280539052,-4119.886114684241,,5000,1,32663405,ok
DS order-1.5 block Gaussian,20,20,32,39,612.0237027669791,-4004.78045938173,-3956.8057127776947,,5000,1,32663413,ok
DS order-1.5 block Gaussian,20,20,32,44,700.3925163559616,-4070.622637707872,-3940.2382570706354,,5000,1,32663418,ok
DS order-1.5 block Gaussian,20,20,32,50,867.0055457339622,-4015.015027145113,-3948.655896977543,,5000,1,32663424,ok
