method,inference_nstep,evaluation_nstep,start,iteration,elapsed_seconds,pseudo_loglik,euler20_loglik,euler20_se,eval_particles,eval_replicates,evaluation_seed,evaluation_status
DS order-1.5 block Gaussian,20,20,3,34,101.25661538698478,-4642.656783825683,-4221.253216949772,0.9733300760355651,1000,4,32634495,ok
DS order-1.5 block Gaussian,20,20,3,69,200.37040188198444,-4252.6639235250805,-4129.414462593403,1.2219519692870209,1000,4,32634530,ok
DS order-1.5 block Gaussian,20,20,3,104,300.00976579100825,-4080.7406486472723,-4024.586011488197,0.23545793910233337,1000,4,32634565,ok
DS order-1.5 block Gaussian,20,20,3,139,400.0152709109825,-4054.480440476096,-4013.729355029792,1.3931071146429101,1000,4,32634600,ok
DS order-1.5 block Gaussian,20,20,3,174,500.4908388929907,-4028.1960192155243,-3979.3598682940574,1.077071519613175,1000,4,32634635,ok
DS order-1.5 block Gaussian,20,20,3,209,601.2931644269847,-3986.6644081864015,-3961.8958233281514,0.8205211037104451,1000,4,32634670,ok
DS order-1.5 block Gaussian,20,20,3,244,700.9017605779809,-3983.515780888538,-3953.549427281788,1.8993290874869417,1000,4,32634705,ok
DS order-1.5 block Gaussian,20,20,3,279,801.0607318339753,-3999.00173295236,-3976.7376793591507,0.44021886974528823,1000,4,32634740,ok
DS order-1.5 block Gaussian,20,20,4,0,5.051994236011524,-11169.302756751138,-9306.514674354072,163.5399660537696,1000,4,32635458,ok
DS order-1.5 block Gaussian,20,20,4,34,101.33567608101293,-4794.641081683674,-4733.565439489985,0.45071449961648685,1000,4,32635492,ok
DS order-1.5 block Gaussian,20,20,4,69,200.45880075503374,-4823.379661598994,-4784.941447467845,0.711754368764857,1000,4,32635527,ok
DS order-1.5 block Gaussian,20,20,4,104,300.8319729520008,-4193.971971280444,-4038.3406921631904,0.600159198681767,1000,4,32635562,ok
DS order-1.5 block Gaussian,20,20,4,139,400.9510808690102,-4045.7665066643726,-3983.2452042832183,0.584541774993357,1000,4,32635597,ok
DS order-1.5 block Gaussian,20,20,4,174,501.34804501000326,-4015.9513214952112,-3958.3233647439024,1.3576751913712186,1000,4,32635632,ok
DS order-1.5 block Gaussian,20,20,4,209,602.2465194890392,-4024.959960358425,-3947.294626991507,0.3074623993903622,1000,4,32635667,ok
DS order-1.5 block Gaussian,20,20,4,244,702.5030940280412,-3985.2057578242666,-3933.693890432283,0.36162891382938,1000,4,32635702,ok
DS order-1.5 block Gaussian,20,20,4,278,801.1373468320235,-3984.92691011892,-3927.16896391868,0.36900416722349116,1000,4,32635736,ok
DS order-1.5 block Gaussian,20,20,5,0,4.93033858796116,-13512.656800152388,-13533.23900804097,0.8282186494414457,1000,4,32636455,ok
DS order-1.5 block Gaussian,20,20,5,34,101.2954268080066,-9857.362332166946,-9041.309761691406,8.950985896753828,1000,4,32636489,ok
DS order-1.5 block Gaussian,20,20,5,69,200.14159687998472,-8257.376493949421,-7387.181691673888,4.62888631661731,1000,4,32636524,ok
DS order-1.5 block Gaussian,20,20,5,104,300.2378148509888,-5340.80379508044,-5258.607596904651,5.826839498904778,1000,4,32636559,ok
DS order-1.5 block Gaussian,20,20,5,140,402.4639955179882,-4979.150756657087,-4924.165169238704,0.8176673353942687,1000,4,32636595,ok
DS order-1.5 block Gaussian,20,20,5,175,502.70639599795686,-4871.940285214065,-4843.9177517499365,7.248960503161528,1000,4,32636630,ok
DS order-1.5 block Gaussian,20,20,5,210,602.6625509290025,-4768.19123957821,-4737.935973030435,1.0775588004596144,1000,4,32636665,ok
DS order-1.5 block Gaussian,20,20,5,245,702.0476080419612,-4671.579313882856,-4652.8748157056925,1.2728833172271705,1000,4,32636700,ok
DS order-1.5 block Gaussian,20,20,5,280,802.1550016939873,-4660.879905791247,-4641.054744966864,1.0228297016846888,1000,4,32636735,ok
DS order-1.5 block Gaussian,20,20,6,0,4.868765122024342,-14084.164737426423,-12113.79851457438,207.23590995573295,1000,4,32637452,ok
DS order-1.5 block Gaussian,20,20,6,34,101.00212425098289,-4545.2884565668965,-4180.172027201177,8.833152671437029,1000,4,32637486,ok
DS order-1.5 block Gaussian,20,20,6,70,202.43158412299817,-4359.133103968916,-4193.10755374639,1.1222583883766097,1000,4,32637522,ok
DS order-1.5 block Gaussian,20,20,6,105,302.29840006900486,-4164.504457789434,-4081.47036422923,3.1580293907810892,1000,4,32637557,ok
DS order-1.5 block Gaussian,20,20,6,140,401.47035156097263,-4305.132205628672,-4172.120328379794,3.306777704525647,1000,4,32637592,ok
DS order-1.5 block Gaussian,20,20,6,175,501.95172793400707,-4243.605277757877,-4138.208094324294,0.9387324685387874,1000,4,32637627,ok
DS order-1.5 block Gaussian,20,20,6,210,602.1683590480243,-4181.362554810951,-4100.471540983588,2.805076387727872,1000,4,32637662,ok
DS order-1.5 block Gaussian,20,20,6,245,701.1865718240151,-4120.800825342892,-4061.5583194960077,0.9432097794348062,1000,4,32637697,ok
DS order-1.5 block Gaussian,20,20,6,280,801.5980412299978,-4155.013415566238,-4068.993994817755,1.6329085409900779,1000,4,32637732,ok
DS order-1.5 block Gaussian,20,20,7,0,4.593168937950395,-6751.0948996177885,-6825.315057473002,5.977522596629806,1000,4,32638449,ok
DS order-1.5 block Gaussian,20,20,7,34,100.91100297495723,-4443.1826921656775,-4303.592414091269,1.5989732924229687,1000,4,32638483,ok
DS order-1.5 block Gaussian,20,20,7,70,202.30970617796993,-4071.939335770246,-4043.755128751857,1.9888140108484151,1000,4,32638519,ok
DS order-1.5 block Gaussian,20,20,7,104,300.0003106999793,-4163.153493755692,-4063.5164759102236,1.8799671875704251,1000,4,32638553,ok
DS order-1.5 block Gaussian,20,20,7,140,402.18291635398054,-4046.469599845511,-3992.2034461255425,3.063553536008431,1000,4,32638589,ok
DS order-1.5 block Gaussian,20,20,7,175,502.53636024100706,-4025.6816256806806,-3973.5169265632007,3.3133845033984732,1000,4,32638624,ok
DS order-1.5 block Gaussian,20,20,7,209,600.032700724958,-3959.871449045282,-3937.867275345418,2.1869600189042213,1000,4,32638658,ok
DS order-1.5 block Gaussian,20,20,7,245,701.9050631129649,-3956.3900468156908,-3931.6908627577704,1.0617314840883918,1000,4,32638694,ok
