method,inference_nstep,start,target_elapsed_seconds,iteration,elapsed_seconds,training_pseudo_loglik,block_loglik,block_loglik_se,eval_particles,eval_replicates,replicate_logliks
DS order-1.5 block Gaussian,20,1,803,278,802.5458249769872,-3996.903459336508,-3974.8374357055363,0.9998473823263682,500,4,"[-3982.6196508176527, -3985.105761581942, -3986.8506610508834, -3973.451255817515]"
DS order-1.5 block Gaussian,20,2,0,0,4.925279761024285,-11117.27720992671,-10558.71113030904,1.0,500,4,"[-10679.953089818526, -10650.925151454961, -10662.113701712207, -10557.32483594792]"
DS order-1.5 block Gaussian,20,2,100,34,101.25214255403262,-5720.497169514281,-5481.7243207622205,0.9998372822834699,500,4,"[-5480.338148451801, -5502.257661631709, -5489.349163921117, -5518.513762451131]"
DS order-1.5 block Gaussian,20,2,200,69,200.31995657202788,-4850.825736361594,-4767.145995494423,0.5827135177349858,500,4,"[-4766.55567917836, -4784.36780926733, -4766.359792517232, -4774.9829054441725]"
DS order-1.5 block Gaussian,20,2,300,104,301.1520134630264,-4571.845010186656,-4506.322019813612,0.8969201061424054,500,4,"[-4507.630973880971, -4509.423554652025, -4505.017771948278, -4520.1654412707885]"
DS order-1.5 block Gaussian,20,2,400,139,401.47615971200867,-4453.247327783249,-4435.396309746401,0.9918809352307835,500,4,"[-4443.275364342777, -4434.016135296284, -4447.0694830311495, -4439.125270643098]"
DS order-1.5 block Gaussian,20,2,500,173,499.5232194730197,-4610.605378123533,-4469.970446271797,0.9999999728360559,500,4,"[-4468.584151931051, -4508.807285449573, -4486.293233980032, -4496.902848112444]"
DS order-1.5 block Gaussian,20,2,600,208,601.0197249770281,-4553.621041015154,-4462.717665933658,0.9962062577068324,500,4,"[-4468.397705528927, -4467.549508639724, -4506.970700234628, -4461.334221941305]"
DS order-1.5 block Gaussian,20,2,700,243,701.348914459988,-4519.258178027712,-4445.19939747204,0.9992506857043855,500,4,"[-4451.525460548832, -4454.553535458477, -4443.8136653066285, -4453.094721471005]"
DS order-1.5 block Gaussian,20,2,800,277,799.798753910989,-4439.311121445258,-4369.725431320184,0.999999935194132,500,4,"[-4412.567936888829, -4386.408991320214, -4368.339137007668, -4385.52428826578]"
DS order-1.5 block Gaussian,20,2,803,278,802.6822409920278,-4438.252353536706,-4382.857560575915,0.8569740705191993,500,4,"[-4381.590256312564, -4404.084992131955, -4411.045092489618, -4383.6588863925035]"
DS order-1.5 block Gaussian,20,3,0,0,4.831132527964655,-7266.533970929151,-7198.0816441403695,0.9968216949245692,500,4,"[-7202.733656836093, -7213.789618382994, -7227.184097036474, -7196.69773826125]"
DS order-1.5 block Gaussian,20,3,100,34,101.25661538698478,-4642.656783825683,-4525.434860065419,0.7743103789424819,500,4,"[-4524.241862564411, -4527.309187611345, -4526.034757500684, -4532.664298300777]"
DS order-1.5 block Gaussian,20,3,200,69,200.37040188198444,-4252.6639235250805,-4184.631088264707,0.6267358604550431,500,4,"[-4189.8252638112535, -4184.414131885228, -4187.2148206020975, -4183.646514936164]"
DS order-1.5 block Gaussian,20,3,300,104,300.00976579100825,-4080.7406486472723,-4057.0722057337357,0.5839008041221395,500,4,"[-4058.4492052413984, -4058.155816157892, -4056.0680136753253, -4057.4584671311563]"
DS order-1.5 block Gaussian,20,3,400,139,400.0152709109825,-4054.480440476096,-4032.560919861008,0.9886605748187588,500,4,"[-4036.376835341808, -4031.1831737274542, -4037.0354763710184, -4039.923816741016]"
DS order-1.5 block Gaussian,20,3,500,174,500.4908388929907,-4028.1960192155243,-4000.5720959991672,0.9914607564399193,500,4,"[-4005.07004149569, -4004.823313545633, -3999.1922300920487, -4008.8557114557548]"
DS order-1.5 block Gaussian,20,3,600,209,601.2931644269847,-3986.6644081864015,-3978.9856832655223,0.9803811564952573,500,4,"[-3977.6142145666895, -3982.725698466129, -3982.7949323020075, -3983.3326012209423]"
DS order-1.5 block Gaussian,20,3,700,244,700.9017605779809,-3983.515780888538,-3969.6250268426875,0.9286846485528533,500,4,"[-3968.2939760319805, -3972.256664373485, -3971.6385349645725, -3974.2813444828826]"
DS order-1.5 block Gaussian,20,3,800,279,801.0607318339753,-3999.00173295236,-3979.976247473823,0.885798350867561,500,4,"[-3978.682636042487, -3981.0246518242448, -3989.887738032521, -3985.624408314894]"
DS order-1.5 block Gaussian,20,4,0,0,5.051994236011524,-11169.302756751138,-10583.179557018386,1.0,500,4,"[-10729.649080370144, -10626.206823067543, -10646.895242976196, -10581.793262657266]"
DS order-1.5 block Gaussian,20,4,100,34,101.33567608101293,-4794.641081683674,-4784.792510974731,0.7035392922074089,500,4,"[-4785.023114623673, -4790.490154593817, -4783.678316057022, -4786.653762016804]"
DS order-1.5 block Gaussian,20,4,200,69,200.45880075503374,-4823.379661598994,-4804.720434401358,0.6669009689074656,500,4,"[-4803.684533390987, -4836.366938246216, -4804.55292518987, -4828.560587678556]"
DS order-1.5 block Gaussian,20,4,300,104,300.8319729520008,-4193.971971280444,-4086.0050414456637,0.9941785838408884,500,4,"[-4092.3559165376646, -4090.1567375140944, -4084.6231274046595, -4103.0106960806515]"
DS order-1.5 block Gaussian,20,4,400,139,400.9510808690102,-4045.7665066643726,-4007.6801341643973,0.5765766724731534,500,4,"[-4007.008541189006, -4006.967611617761, -4013.329860887833, -4023.848155108268]"
DS order-1.5 block Gaussian,20,4,500,173,498.68984023400117,-3998.5917592811747,-3976.113960295792,0.9897565561020129,500,4,"[-3974.735386006948, -3979.929584334496, -3980.8541474858716, -3990.7986034686082]"
DS order-1.5 block Gaussian,20,4,600,208,599.5326557240332,-4015.524514090581,-3965.9405420495164,0.9997375224032236,500,4,"[-3974.6817621606933, -3973.322778809326, -3964.5544445724145, -3978.071093972466]"
DS order-1.5 block Gaussian,20,4,700,243,699.7487018270185,-3985.5716212624993,-3955.334055030589,0.9578244119855657,500,4,"[-3960.1807665046063, -3961.925779327377, -3957.4674800257217, -3953.980195231172]"
DS order-1.5 block Gaussian,20,4,800,278,801.1373468320235,-3984.92691011892,-3953.553348610883,0.5857305705902106,500,4,"[-3953.6344113284777, -3958.8997436489335, -3954.448420537331, -3952.5733244434728]"
DS order-1.5 block Gaussian,20,5,0,0,4.93033858796116,-13512.656800152388,-13439.668323655898,0.9889944275152338,500,4,"[-13443.096931419295, -13447.497430550997, -13438.290339610725, -13447.872606887559]"
DS order-1.5 block Gaussian,20,5,100,34,101.2954268080066,-9857.362332166946,-9715.912533048835,1.0,500,4,"[-9790.838706675222, -9714.526238687715, -9777.718287141295, -9756.425426114987]"
DS order-1.5 block Gaussian,20,5,200,69,200.14159687998472,-8257.376493949421,-7987.854895413871,0.9985566960420013,500,4,"[-8071.588994718355, -8000.025902144503, -7993.297939509048, -7986.469684507476]"
DS order-1.5 block Gaussian,20,5,300,104,300.2378148509888,-5340.80379508044,-5316.218432026945,0.9677068475930236,500,4,"[-5325.159404251139, -5318.569339847142, -5322.324690777747, -5314.856851146493]"
DS order-1.5 block Gaussian,20,5,400,139,399.59792314399965,-4972.0941287470505,-4962.029319579573,0.9700594471863505,500,4,"[-4968.4094455097475, -4964.7260622257545, -4960.665811832083, -4965.892735931564]"
DS order-1.5 block Gaussian,20,5,500,174,499.82012788997963,-4876.521217750602,-4868.549878816383,0.6040465210166526,500,4,"[-4870.921633336988, -4867.526938277482, -4869.156549953305, -4869.094331774597]"
DS order-1.5 block Gaussian,20,5,600,209,599.8580915899947,-4768.727925560804,-4757.580537382926,0.7684835271242813,500,4,"[-4756.396501891457, -4759.93986837856, -4758.037337716356, -4762.945833891761]"
DS order-1.5 block Gaussian,20,5,700,244,699.0501589709893,-4675.807387202372,-4672.036169600717,0.547634406032843,500,4,"[-4672.556420740007, -4671.077584769915, -4672.467580025751, -4673.9464869651465]"
DS order-1.5 block Gaussian,20,5,800,279,799.2440155649674,-4663.806901618809,-4656.287502991008,0.489412409771968,500,4,"[-4656.7757952240645, -4656.806179227933, -4657.380463427053, -4655.389052128627]"
DS order-1.5 block Gaussian,20,5,802,280,802.1550016939873,-4660.879905791247,-4654.519633048187,0.18338234878098386,500,4,"[-4654.41296109713, -4654.7706215948765, -4654.958057777978, -4654.138223128042]"
DS order-1.5 block Gaussian,20,6,0,0,4.868765122024342,-14084.164737426423,-13331.501672090808,0.9999999921572431,500,4,"[-13349.066735234508, -13330.11537773557, -13502.202390870285, -13408.31743508625]"
DS order-1.5 block Gaussian,20,6,100,34,101.00212425098289,-4545.2884565668965,-4425.54879032549,0.9999998628305611,500,4,"[-4440.660956217302, -4444.890440657702, -4441.373603519887, -4424.162496067247]"
DS order-1.5 block Gaussian,20,6,200,69,199.7006620009779,-4357.5311310054085,-4308.335287100306,0.9998247695900124,500,4,"[-4306.949124176388, -4325.085772935241, -4332.939312604492, -4315.886140939037]"
DS order-1.5 block Gaussian,20,6,300,104,299.41784248297336,-4181.11951197037,-4157.315685111285,0.6305125166116351,500,4,"[-4166.861574456425, -4156.994442926439, -4166.163007533112, -4156.35215007049]"
DS order-1.5 block Gaussian,20,6,400,140,401.47035156097263,-4305.132205628672,-4259.223469172402,0.9528531991683816,500,4,"[-4264.167373213729, -4272.145755823484, -4257.87357287568, -4261.219707622795]"
DS order-1.5 block Gaussian,20,6,500,174,498.9804027079954,-4254.047835252131,-4207.0710363644985,0.9967641406696045,500,4,"[-4215.230425856439, -4205.687173652871, -4211.7354836216455, -4219.430573163453]"
DS order-1.5 block Gaussian,20,6,600,209,599.2349007509765,-4167.160978586229,-4148.238858715432,0.8185354051780743,500,4,"[-4158.49081275044, -4147.008843348727, -4148.7859230367885, -4158.455315618157]"
DS order-1.5 block Gaussian,20,6,700,245,701.1865718240151,-4120.800825342892,-4101.307026172172,0.9322799764937304,500,4,"[-4107.863429571423, -4103.083162903372, -4099.9734157137655, -4104.6718313550255]"
DS order-1.5 block Gaussian,20,6,800,279,798.5708756709937,-4140.394018824427,-4124.469613522456,0.8273801082420514,500,4,"[-4123.226456194533, -4125.296082924007, -4128.44671125346, -4127.031911275348]"
DS order-1.5 block Gaussian,20,6,802,280,801.5980412299978,-4155.013415566238,-4135.7837835794635,0.8104087523943746,500,4,"[-4134.556529382444, -4140.618250649913, -4138.08351349281, -4136.517930373935]"
DS order-1.5 block Gaussian,20,7,0,0,4.593168937950395,-6751.0948996177885,-6507.875034851156,0.9999999994573995,500,4,"[-6506.488740490443, -6555.8336722756685, -6528.111070341018, -6607.055497095918]"
DS order-1.5 block Gaussian,20,7,100,34,100.91100297495723,-4443.1826921656775,-4385.93483567934,0.9996894825181154,500,4,"[-4384.548774250489, -4423.716213729003, -4392.9334731518275, -4396.83282989249]"
DS order-1.5 block Gaussian,20,7,200,69,199.4750976949581,-4124.591162692686,-4049.6487407078403,0.6232338534115597,500,4,"[-4049.5985963463313, -4048.6392903848778, -4052.5628349167537, -4051.5443169323335]"
DS order-1.5 block Gaussian,20,7,300,104,300.0003106999793,-4163.153493755692,-4115.7864726605585,0.4252605589911942,500,4,"[-4115.81927393108, -4119.821417923178, -4115.869700119227, -4115.04718612828]"
