method,inference_nstep,start,start_type,particles,iterations_requested,updates_completed,termination_reason,elapsed_seconds,output_selected_iteration,output_selected_elapsed_seconds,initial_pseudo_loglik,final_pseudo_loglik,minimum_ess,maximum_invalid_fraction,maximum_backward_fallbacks,total_backtracks,gamma,m,epsilon,beta_trend,sigma,tau,bs1,bs2,bs3,bs4,bs5,bs6,omegas1,omegas2,omegas3,omegas4,omegas5,omegas6,S_0,I_0,R1_0,R2_0,R3_0,raw_0,raw_1,raw_2,raw_3,raw_4,raw_5,raw_6,raw_7,raw_8,raw_9,raw_10,raw_11,raw_12,raw_13,raw_14,raw_15,raw_16,raw_17,raw_18,raw_19,raw_20,raw_21,raw_22
DS order-1.5 block Gaussian,20,10,global-box,100,5000,96,time-budget,801.3052762079751,96,801.3052762079751,-49848.026823050546,-3945.569302581466,1.0,0.6599999999999999,0,0,10.721219481372186,0.30831916780136737,25.000629851040436,-0.001682548383911729,1.7793158401525884,0.3961369076806912,0.5541368575823183,5.728600440155884,-3.9562022405504282,2.991547861143911,3.8259075244356926,2.7742928071283437,-6.743315819051655,-4.2544101897062525,-10.0,-7.103854232938175,-8.33171445581674,-1.6664193124438595,0.3617056052713478,0.13008848905685,0.09900730391923562,0.047492996481218776,0.3617056052713478,2.372224906763441,-1.1766197734590353,3.2189010185924536,-0.16825483839117292,0.5762289309541239,-0.9259954010108884,0.5541368575823183,5.728600440155884,-3.9562022405504282,2.991547861143911,3.8259075244356926,2.7742928071283437,-6.743315819051655,-4.2544101897062525,-10.0,-7.103854232938175,-8.33171445581674,-1.6664193124438595,0.0,-1.0226157319085227,-1.2956370114806213,-2.030248378186577,0.0
DS order-1.5 block Gaussian,20,11,global-box,100,5000,90,time-budget,802.6570437939372,93,802.6570437939372,-5976.106201685628,-3984.742746230235,1.0000336376041397,0.69,0,21,17.82818966271154,0.22438379565594857,22.501250608402614,-0.001958037832170055,2.6911695782651748,0.3473660132876655,1.6390414401988629,5.580992975891264,-3.5753118093052656,0.5486647324581324,4.937467275632603,2.2320991502334167,-5.78845655864192,-3.5622685114819226,-6.924952051451171,-2.677361854764717,-9.77976656060554,-0.21127061223203228,0.14016173872781829,0.07289150505149819,0.3075756332437008,0.3075756332437008,0.17179548973328193,2.880780893501557,-1.4943973198128855,3.113570890261391,-0.19580378321700548,0.9899758865802416,-1.0573762616026825,1.6390414401988629,5.580992975891264,-3.5753118093052656,0.5486647324581324,4.937467275632603,2.2320991502334167,-5.78845655864192,-3.5622685114819226,-6.924952051451171,-2.677361854764717,-9.77976656060554,-0.21127061223203228,-0.7859239863530098,-1.4397489153324956,0.0,0.0,-0.582416262573202
DS order-1.5 block Gaussian,20,12,global-box,100,5000,15,non-finite-path-or-score,132.86487931606825,15,132.86487931606825,-7125.5578845588225,-5905.148331997989,1.000000027878713,0.22999999999999998,0,0,22.529692711118795,0.315597556235434,22.851832795701494,0.0,3.7349570396586427,0.4155402994937143,3.990469372751201,4.862960998713587,3.5508298116739017,7.977000200710359,6.1550158420308465,2.814517285481386,-9.077763778657896,-3.580126763211681,-7.5879740075967765,-6.879792929748777,-8.805853657643834,-3.6234788653328596,0.27644837136509,0.2230512194415433,0.0737309484827967,0.15032108934548005,0.27644837136509,3.114834115252995,-1.1532874332741294,3.1290313240011005,0.0,1.3177363164192046,-0.8781756790319784,3.990469372751201,4.862960998713587,3.5508298116739017,7.977000200710359,6.1550158420308465,2.814517285481386,-9.077763778657896,-3.580126763211681,-7.5879740075967765,-6.879792929748777,-8.805853657643834,-3.6234788653328596,0.0,-0.2146226528395127,-1.321601445329642,-0.609250479598538,0.0
DS order-1.5 block Gaussian,20,13,global-box,100,5000,96,time-budget,801.4091285039904,96,801.4091285039904,-5984.871570942456,-4245.048494820576,1.0,0.6799999999999999,0,0,30.961733903491545,0.16189039536665667,12.452473952875337,-0.006259526011085908,4.999999999999999,0.5,1.2970656836578551,4.955910891146481,1.6866389506324644,0.04838971631246577,1.2475489791618908,4.580751479824793,-0.7026907978240282,-6.724633687426819,-9.865868148389046,-3.3556339435219207,-1.491678794562096,-0.8956824386201114,0.17125962639510972,0.13816352619763,0.2438124676901337,0.24519396126205345,0.20157041845507306,3.432752051788065,-1.8208357445385077,2.5219193142446104,-0.6259526011085907,1.6094379124341003,-0.6931471805599453,1.2970656836578551,4.955910891146481,1.6866389506324644,0.04838971631246577,1.2475489791618908,4.580751479824793,-0.7026907978240282,-6.724633687426819,-9.865868148389046,-3.3556339435219207,-1.491678794562096,-0.8956824386201114,-0.35886888786447424,-0.573611619875045,-0.005650221205583967,0.0,-0.19591078437618806
DS order-1.5 block Gaussian,20,14,global-box,100,5000,94,time-budget,801.7558924540645,95,801.7558924540645,-35503.65380037693,-4449.143885109458,1.0,0.73,0,7,11.345313880500322,0.5691756818037889,30.000000000000004,-0.01,4.956355228059551,0.5,-0.45342040398099737,4.714381178305207,-0.0689502192464408,4.7017440928730165,3.6969484449560457,2.1531840689634554,-6.547554925000675,-1.0238081819655411,-10.0,-4.671476495488974,-9.300607915187792,-7.405245142569373,0.0684364480853849,0.21429859158692408,0.1928804020232333,0.2995740879796145,0.22481047032484322,2.4288047847067595,-0.5635661371439955,3.4011973816621555,-1.0,1.6006706375621809,-0.6931471805599453,-0.45342040398099737,4.714381178305207,-0.0689502192464408,4.7017440928730165,3.6969484449560457,2.1531840689634554,-6.547554925000675,-1.0238081819655411,-10.0,-4.671476495488974,-9.300607915187792,-7.405245142569373,-1.4764562097322924,-0.33499142888139766,-0.440291440994495,0.0,-0.287104066070094
DS order-1.5 block Gaussian,20,15,global-box,100,5000,96,time-budget,807.0327496420359,96,807.0327496420359,-18657.83151760864,-4046.062992821823,1.0,0.6699999999999999,0,4,30.07788997442978,0.38147958914388813,10.798959165494548,-0.006663964744995707,4.304076833346758,0.38274941064335055,1.1195158218283245,4.697114527218571,0.244851829847137,3.4707946776790894,3.700184645078662,4.302733141164894,-5.7803950267090904,-0.8729040289047504,-3.399484858734529,-8.67305970305817,-5.956520985628323,-2.464651528906218,0.22522335311125902,0.053084645001342246,0.29538243102165596,0.29076453469540864,0.1355450361703341,3.4037903494945447,-0.9636979312776461,2.379449755920624,-0.6663964744995707,1.4595626743141688,-0.9603747842408251,1.1195158218283245,4.697114527218571,0.244851829847137,3.4707946776790894,3.700184645078662,4.302733141164894,-5.7803950267090904,-0.8729040289047504,-3.399484858734529,-8.67305970305817,-5.956520985628323,-2.464651528906218,-0.27117830279667665,-1.7163831780338143,0.0,-0.01575711261088426,-0.7789669377563595
DS order-1.5 block Gaussian,20,16,global-box,100,5000,96,time-budget,801.4759185590083,96,801.4759185590083,-650431.251762369,-4071.6051499622517,1.0,0.69,0,0,10.512470504270212,0.6,13.822699047036558,-0.008219147602101023,3.5047827979102983,0.32446468820137736,0.6045249108005191,3.7738739342812178,-0.7328439196135851,2.793112262627137,3.24250778569904,3.3936031503762853,-3.7927413087338833,-5.368988622289017,-6.819396241170707,-6.821860398648547,-7.682191398752793,-5.0033437056383,0.2138573827954838,0.19554093968701805,0.1948511681238455,0.17487647056926056,0.2208740388243921,2.352562219518218,-0.5108256237659907,2.626312099345951,-0.8219147602101023,1.254128549353914,-1.1255785678612933,0.6045249108005191,3.7738739342812178,-0.7328439196135851,2.793112262627137,3.24250778569904,3.3936031503762853,-3.7927413087338833,-5.368988622289017,-6.819396241170707,-6.821860398648547,-7.682191398752793,-5.0033437056383,-0.03228322163828766,-0.12182281129219544,-0.12535655220116923,-0.2335127367483243,0.0
DS order-1.5 block Gaussian,20,17,global-box,100,5000,94,time-budget,801.7821725410176,95,801.7821725410176,-174118.75395182183,-4326.407959978178,1.0,0.72,0,7,12.293073203408731,0.5506197520359799,15.971679059449897,-0.00576545757997124,4.023565382652851,0.5,-3.1303892737886576,2.5307321382991863,1.010439068328867,3.0178335650639427,1.998715810187929,5.0224215446567975,-0.6478907608705757,-6.2086491902095435,-2.4693338539769965,-10.0,-8.047460281425876,-7.750785087451725,0.17302260440058415,0.014387114357279225,0.31171169471714366,0.31171169471714366,0.18916689180784937,2.509035949553078,-0.596710813259283,2.770817095050297,-0.576545757997124,1.3921684206653446,-0.6931471805599453,-3.1303892737886576,2.5307321382991863,1.010439068328867,3.0178335650639427,1.998715810187929,5.0224215446567975,-0.6478907608705757,-6.2086491902095435,-2.4693338539769965,-10.0,-8.047460281425876,-7.750785087451725,-0.5886564579759431,-3.0757457355364366,0.0,0.0,-0.49944905435294124
DS order-1.5 block Gaussian,20,18,global-box,100,5000,94,time-budget,801.6711474229814,95,801.6711474229814,-63325.99070688199,-4151.400773590609,1.0,0.6499999999999999,0,7,10.000000000000002,0.6,30.000000000000004,-0.005194122996866739,3.11810609899917,0.3780000172912299,-4.0,3.125245812230794,-0.31676158283410755,1.4180216591863233,3.768253863482367,3.7412882539555623,-2.2573182656274917,-2.744062671920368,-7.571023576532188,-6.071219076402724,-8.48446143652098,-5.27787469943232,0.2750509431195668,0.09224485761836784,0.13292351408560635,0.22472974205689222,0.2750509431195668,2.302585092994046,-0.5108256237659907,3.4011973816621555,-0.5194122996866739,1.1372257979588842,-0.972861037618556,-4.0,3.125245812230794,-0.31676158283410755,1.4180216591863233,3.768253863482367,3.7412882539555623,-2.2573182656274917,-2.744062671920368,-7.571023576532188,-6.071219076402724,-8.48446143652098,-5.27787469943232,0.0,-1.0925097908252979,-0.7271824474823193,-0.20205779438176824,0.0
DS order-1.5 block Gaussian,20,19,global-box,100,5000,92,time-budget,802.3424096539384,94,802.3424096539384,-10412.388389530604,-3948.7579387991755,1.000000000567944,0.88,0,14,15.006519089067913,0.6,27.229967378603128,-0.0041692358130499775,2.5353906246485667,0.3771991511965247,-0.8202266922973,5.682775072859367,-1.8572592039186717,3.6235421687793,2.8352264549943786,4.476189947195056,-2.1491027485664573,-6.4150275582328335,-8.513496403613123,-8.062983440649454,-6.604547669664291,-7.391689370860464,0.07893242713076672,0.41360826782750637,0.01073764938311061,0.2370977282697173,0.259623927388899,2.7084847126262646,-0.5108256237659907,3.304318108690207,-0.41692358130499774,0.9303477177356441,-0.9749819784996913,-0.8202266922973,5.682775072859367,-1.8572592039186717,3.6235421687793,2.8352264549943786,4.476189947195056,-2.1491027485664573,-6.4150275582328335,-8.513496403613123,-8.062983440649454,-6.604547669664291,-7.391689370860464,-1.6563271792371919,0.0,-3.651163113412208,-0.5564469011978236,-0.4656851621044888
DS order-1.5 block Gaussian,20,20,global-box,100,5000,88,time-budget,803.3233106599655,92,803.3233106599655,-5785.05831477136,-3990.8014866808494,1.0000027738476225,0.5800000000000001,0,28,28.887420625448424,0.3770843209259329,30.000000000000004,-0.002469865072260165,3.0828422976586567,0.4967694793719705,1.926281381174063,5.259470096234219,-3.2130752368158815,4.167017418091199,3.715784282236206,4.275511191572275,-2.0759167288268765,-1.5477430877375804,-2.6876323675076765,-6.639574650884964,-9.858169358859882,-8.176933671002594,0.004701373157792557,0.25165591660174197,0.2417649008766868,0.24513105096045068,0.256746758403328,3.363406227883991,-0.9752864536094421,3.4011973816621555,-0.2469865072260165,1.1258519953604211,-0.6996291846864926,1.926281381174063,5.259470096234219,-3.2130752368158815,4.167017418091199,3.715784282236206,4.275511191572275,-2.0759167288268765,-1.5477430877375804,-2.6876323675076765,-6.639574650884964,-9.858169358859882,-8.176933671002594,-4.00023559595304,-0.020027479051914186,-0.060124453251084196,-0.04629725381562757,0.0
DS order-1.5 block Gaussian,20,21,global-box,100,5000,96,time-budget,801.3413351140916,96,801.3413351140916,-309584.00772141095,-4306.307481268792,1.0,0.6799999999999999,0,0,13.08520018751977,0.5223559452953744,8.49739627328707,-0.0037395756500071004,4.5331191406685205,0.35515536992381236,1.5845891670282835,0.6330681878292125,-3.318066372524582,4.9491017533135695,1.6884352395615574,3.477030658562805,-1.461972422046601,-3.996557147500736,-4.2699590307675805,-10.0,-5.0321893874924095,-7.008599003732559,0.2649129100756628,0.2649129100756628,0.225485743731173,0.22041836695462735,0.024270069162873914,2.5714818348730875,-0.6494060359401429,2.139759795780718,-0.37395756500071003,1.5114102545757127,-1.035199923495475,1.5845891670282835,0.6330681878292125,-3.318066372524582,4.9491017533135695,1.6884352395615574,3.477030658562805,-1.461972422046601,-3.996557147500736,-4.2699590307675805,-10.0,-5.0321893874924095,-7.008599003732559,0.0,0.0,-0.1611441945080594,-0.1838737223014555,-2.3901572612865127
DS order-1.5 block Gaussian,20,22,global-box,100,5000,90,time-budget,802.7674512329977,93,802.7674512329977,-21061.16792286442,-4454.44353769487,1.0,0.5,0,21,25.006277131312398,0.15666038248831807,2.8086913345749576,-0.0028433264461333253,4.999999999999999,0.5,2.3258514571366478,6.786626404916214,-0.520547763349546,3.0530619933458665,5.019403987261863,8.0,-4.0306189733751445,-8.329826789908891,-6.998211747290556,-4.821711088165487,-7.217419717112912,-1.4094153539216094,0.1470138754399557,0.1261029214893546,0.0680011328820865,0.32944103509430167,0.32944103509430167,3.21912687860407,-1.8536749855273345,1.0327186576325906,-0.2843326446133325,1.6094379124341003,-0.6931471805599453,2.3258514571366478,6.786626404916214,-0.520547763349546,3.0530619933458665,5.019403987261863,8.0,-4.0306189733751445,-8.329826789908891,-6.998211747290556,-4.821711088165487,-7.217419717112912,-1.4094153539216094,-0.8068704121835814,-0.9602989745171712,-1.5778730201877753,0.0,0.0
DS order-1.5 block Gaussian,20,23,global-box,100,5000,4,non-finite-path-or-score,42.62552350200713,4,42.62552350200713,-8871.631802677788,-8546.544203581196,1.0,0.12,0,0,15.0414883636308,0.27108807686212183,18.51026371506186,-0.007015012860723556,2.0816100052132893,0.310258013919506,2.9043094477687785,1.6785904344688554,-2.390710131529653,6.647646317965981,7.998405224028586,2.5813828116306206,-7.31716087019889,-6.037314711177036,-2.014643253790144,-3.8416518868942013,-4.359543477967654,-2.9230337837347515,0.269586348888236,0.2774495922253275,0.003024278616028972,0.33124244890597565,0.11869733136443195,2.710812273973234,-1.3053115040344305,2.9183253736509536,-0.7015012860723556,0.7331416352659407,-1.1703510247088438,2.9043094477687785,1.6785904344688554,-2.390710131529653,6.647646317965981,7.998405224028586,2.5813828116306206,-7.31716087019889,-6.037314711177036,-2.014643253790144,-3.8416518868942013,-4.359543477967654,-2.9230337837347515,-0.20596183821643863,-0.1772113142373235,-4.6961779922817195,0.0,-1.0262737621089224
DS order-1.5 block Gaussian,20,24,global-box,100,5000,86,time-budget,803.7651424070355,91,803.7651424070355,-16758.32537569281,-4248.448659053551,1.0,0.55,0,35,19.51146447250127,0.5088477251409818,0.2,-0.01,4.19882030489452,0.5,3.566388663748795,4.723506660631969,1.264428624111404,2.213068670354929,4.5823436722575535,3.856632553022207,-8.164262564956848,-4.214981665847019,-10.0,-1.2220216738524563,-6.755353709954627,-1.7553171668157586,0.14931085807730332,0.07145714335429881,0.24673518590076435,0.19472395623225577,0.33777285643537763,2.9710022144781987,-0.6756064719428077,-1.6094379124341003,-1.0,1.4348036060481881,-0.6931471805599453,3.566388663748795,4.723506660631969,1.264428624111404,2.213068670354929,4.5823436722575535,3.856632553022207,-8.164262564956848,-4.214981665847019,-10.0,-1.2220216738524563,-6.755353709954627,-1.7553171668157586,-0.8163432187208328,-1.5532757708486176,-0.3140580075592526,-0.5507907006169522,0.0
DS order-1.5 block Gaussian,20,25,global-box,100,5000,94,time-budget,801.7447042579297,95,801.7447042579297,-34287.18029649368,-4144.1117511602615,1.0,0.6499999999999999,0,7,31.87361186386012,0.49361278056772456,2.9789309590709405,-0.01,4.999999999999999,0.5,-0.04887151701649719,6.462757676011713,-3.6110756039337426,5.0734194862716055,2.332692920996655,3.7836492290353805,-5.430407886831382,0.0,-4.681272140305605,-9.137700366639356,-0.9280374848308721,-2.2226828870141793,0.24292360525935178,0.0924272738006564,0.2793406919570831,0.10965720532194113,0.27565122366096745,3.4617784531611946,-0.7060039141659457,1.0915644975884418,-1.0,1.6094379124341003,-0.6931471805599453,-0.04887151701649719,6.462757676011713,-3.6110756039337426,5.0734194862716055,2.332692920996655,3.7836492290353805,-5.430407886831382,0.0,-4.681272140305605,-9.137700366639356,-0.9280374848308721,-2.2226828870141793,-0.13968514272524618,-1.1060100488927427,0.0,-0.9350729702734015,-0.013295770779297262
DS order-1.5 block Gaussian,20,26,global-box,100,5000,96,time-budget,801.2696505080676,96,801.2696505080676,-128473.59133228936,-4184.831814733869,1.0,0.61,0,0,26.96334257959217,0.35103348633007897,8.399604405386908,-0.001948309863658274,4.497543310910036,0.49601694558291043,2.397220139102401,4.327882430801591,0.3282929781329528,2.9692261585761432,3.053095540962833,4.186283480600215,-6.365986247900464,-10.0,-4.104121630637426,-4.408586625675614,-4.728499116379519,-7.813992161551873,0.2604236996313018,0.19116566400525403,0.14848375848392606,0.1866413672307905,0.21328551064872764,3.294478261281417,-1.046873657417017,2.128184610143486,-0.1948309863658274,1.5035313167928557,-0.701145188359128,2.397220139102401,4.327882430801591,0.3282929781329528,2.9692261585761432,3.053095540962833,4.186283480600215,-6.365986247900464,-10.0,-4.104121630637426,-4.408586625675614,-4.728499116379519,-7.813992161551873,0.0,-0.3091695156739068,-0.5618343368192741,-0.3331209654185231,-0.19967822488009918
