method,inference_nstep,evaluation_nstep,start,iteration,elapsed_seconds,pseudo_loglik,euler20_loglik,euler20_se,eval_particles,eval_replicates,evaluation_seed,evaluation_status
DS order-1.5 block Gaussian,20,20,2,11,100.873534442042,-5207.684001237409,-4988.178626811308,,5000,1,32633475,ok
DS order-1.5 block Gaussian,20,20,2,24,207.10368272400228,-4718.049194857728,-4666.049032116809,,5000,1,32633488,ok
DS order-1.5 block Gaussian,20,20,2,36,305.4019563940237,-4732.809458335571,-4618.426932646622,,5000,1,32633500,ok
DS order-1.5 block Gaussian,20,20,2,47,404.1833560700179,-4522.891616848216,-4496.554709406121,,5000,1,32633511,ok
DS order-1.5 block Gaussian,20,20,2,59,502.4825339100207,-4306.225503046364,-4209.202097381091,,5000,1,32633523,ok
DS order-1.5 block Gaussian,20,20,2,71,603.588581109012,-4200.660436568373,-4101.723333439813,,5000,1,32633535,ok
DS order-1.5 block Gaussian,20,20,2,83,701.8872529540095,-4114.372845197895,-4023.2298328336506,,5000,1,32633547,ok
DS order-1.5 block Gaussian,20,20,2,95,800.1546356320032,-4061.4508635388343,-4011.372108524171,,5000,1,32633559,ok
DS order-1.5 block Gaussian,20,20,3,0,10.704344960977323,-7225.9062942964,-7204.746299184661,,5000,1,32634461,ok
DS order-1.5 block Gaussian,20,20,3,11,101.02815648500109,-5507.696243278349,-5676.486042087248,,5000,1,32634472,ok
DS order-1.5 block Gaussian,20,20,3,24,207.27038078196347,-5061.660940778355,-4419.367885662102,,5000,1,32634485,ok
DS order-1.5 block Gaussian,20,20,3,36,305.59140170697356,-4689.041233329841,-4311.153005644703,,5000,1,32634497,ok
DS order-1.5 block Gaussian,20,20,3,48,404.0148961379891,-4427.350858339192,-4225.9982964913015,,5000,1,32634509,ok
DS order-1.5 block Gaussian,20,20,3,60,505.1120679449523,-4314.022030690789,-4149.741282250199,,5000,1,32634521,ok
DS order-1.5 block Gaussian,20,20,3,72,603.4463428269955,-4274.404411543419,-4153.019286173989,,5000,1,32634533,ok
DS order-1.5 block Gaussian,20,20,3,84,701.7515153649729,-4243.48828628737,-4161.45711426121,,5000,1,32634545,ok
DS order-1.5 block Gaussian,20,20,3,96,800.0797203989932,-4257.216335675397,-4161.158561701832,,5000,1,32634557,ok
DS order-1.5 block Gaussian,20,20,4,0,10.540908530994784,-14379.822371013472,-9106.675265436703,,5000,1,32635458,ok
DS order-1.5 block Gaussian,20,20,4,11,100.8677004709607,-6252.0036595154015,-5746.776050503248,,5000,1,32635469,ok
DS order-1.5 block Gaussian,20,20,4,24,207.09190056700027,-6018.963021026611,-5702.579943798593,,5000,1,32635482,ok
DS order-1.5 block Gaussian,20,20,4,36,305.39000794896856,-5556.749789385153,-5503.976404178758,,5000,1,32635494,ok
