model,rep,logLik,MCSE,mpif_logLik,gain_from_mpif,ri,rn,f_Si,f_Sn,probi,probn,xi,theta_Sn,theta_Si,theta_P,theta_Ji,theta_Jn,sigSn,sigSi,sigIn,sigIi,sigJi,sigJn,sigF,sigP,k_Ii,k_In,k_Si,k_Sn,theta_In_K,theta_In_L,theta_In_M,theta_In_N,theta_In_O,theta_In_P,theta_In_Q,theta_In_S,theta_Ii_K,theta_Ii_L,theta_Ii_M,theta_Ii_N,theta_Ii_O,theta_Ii_P,theta_Ii_Q,theta_Ii_S,reevaluated_logLik,reevaluated_MCSE,reevaluation_seed,reevaluation_seconds,reevaluation_difference
IFAD-0.97,10,-861.7478875487166,0.1721922060663696,-867.1158738225172,5.367986273800625,7163.661281148465,76.894324560869,8.054002667691517e-06,0.000815665525737682,30.76982177340885,0.3654544112413886,28.09315715025435,0.07572946770794127,0.01993310885160303,0.00012797181279651653,0.0004515034240560859,0.0011398460968478298,0.0,0.0,0.0014486242325667787,2.5130983523121944e-06,0.36477002617965276,0.0027220853582311166,0.13201187775577217,0.3059472379723319,2.491852376264687,1.2551439983325894,5.1695948142262464,4.3139320614616175,0.97711772706087,0.8806547587563028,0.7833765345249605,0.5005379255832375,2.1423164716044405,0.6336260812693058,0.25573661544449133,0.21663439087877512,0.34473609765108043,0.23385471360738336,0.9234043476396998,0.11486299478163677,1.014260782545728,1.1062590022918692,0.15687070128946304,0.024579336513528855,,,,,
IFAD-0.97,11,-862.6706925085643,0.21811879129155703,-866.6403423046166,3.9696497960522947,41774.793919780896,74.69202174479064,1.2960527039865018e-06,0.0008622977779240194,337.78044220826285,0.47555506781059237,43.13065146888886,0.07976295243283257,0.0035944668940488702,0.0019846144616118997,0.0010617223440504938,0.0004453969863631765,0.0,0.0,5.4271052068266895e-06,0.01060850577302519,0.46919835736674737,0.2690775566217628,0.10512526764521389,0.447389870672172,2.390104088325963,1.3044913365622952,5.8980670545057405,4.8813185503016,0.7353896479371647,0.6862591473774664,0.27477638976537083,0.20903713521882902,1.061112246596268,0.3777755771335586,0.13180891227501204,0.22021298453383234,0.3248509856965217,0.20824881436494735,0.4599054635112834,0.05327096671071795,0.9040684397731172,0.886882750071775,0.035857662128596215,0.048613471855664184,,,,,
IFAD-0.97,12,-861.2343309694465,0.1582311866801264,-864.7333189494932,3.4989879800466497,2828.725049822105,30.522740811674428,1.8316090501258054e-05,0.0014266739346024415,29.536729616653247,0.33526871996249796,26.616549331989336,0.00013104133735208556,3.191258938668541e-06,0.06283274588215569,4.6010167734505906e-05,1.4863106342747213e-05,0.0,0.0,0.00029280869173108277,0.00012736851286490117,0.321984544529198,0.3120313846480863,0.13185660376749664,0.42614081812262866,2.412953965406744,1.294951447463668,5.133568629425256,4.698130070740738,0.676189123971047,0.6549611372847334,0.3131256202323267,0.30339757182408195,0.7343575074782136,0.4113361286117803,0.18909210707507007,0.22469202711882982,0.3188252503650293,0.22296033588470768,0.5311475964347018,0.0899581789177026,0.7061711450918303,0.9496769735906874,0.1794431509765924,0.062395835666306965,,,,,
IFAD-0.97,13,-862.5645214805974,0.14884526342609156,-868.6777018064431,6.113180325845747,120.99184108324675,147.12330985071736,0.00046322858772248547,0.0006460080175790081,0.7597986807212767,0.3886809324322658,21.724465250592438,0.19042037688457947,0.005380435174059606,0.02772587384327196,0.00024127832405501927,0.0007553217580105263,0.0,0.0,3.5502160565748763e-07,0.014979577059706844,0.40774671513412464,0.23812859451713964,0.1103999937282628,0.11893842839076038,2.3791336815616946,1.3621896046377444,5.430724324569764,4.812842694539153,0.6034490429689563,1.0216829964283185,0.27272201007380786,0.24617539028240054,1.5174730300281463,0.30672702249763,0.2597429495809586,0.17818015420333172,0.3422021091671054,0.26507450631026847,0.760402470870515,0.10182118248682615,1.0050189455554395,1.1672859532167186,0.29859829056180576,0.07552703782928663,,,,,
IFAD-0.97,14,-861.7099856068721,0.18273409881011435,-867.0163064472192,5.306320840347098,943.705933661183,38.80989084387689,5.57654336327028e-05,0.001155021660770345,9.731291674317273,0.40229847540159447,32.99682815073698,0.002716519064382781,2.3731964614338957e-05,0.06422509711637502,1.052942687507935e-05,0.0001376441056358806,0.0,0.0,5.260214704776099e-06,0.03213681898190951,0.400152934386213,0.3917947228232333,0.11953260451658768,0.4058070241638851,2.5175185080559666,1.2723559734151846,5.254730834285473,4.796299267930249,0.6292281562779521,0.5868795099468307,0.2956305665244314,0.28844428486881946,0.757470531510105,0.39057840888032647,0.1805884745164918,0.21362719083909826,0.31801606102861607,0.2125949635055029,0.5789560976223593,0.08673115280567177,0.7638716447523504,0.9510007217362132,0.17116201836056683,0.06093521335172666,,,,,
IFAD-0.97,15,-864.6559166170479,0.14892396618639384,-868.8746048375704,4.218688220522495,289614.06979648833,100.61952977815038,1.7215501939926368e-07,0.0003970179723703996,1399.6694380599724,0.9271461673736605,76.00937633933745,3.675644643111023e-05,0.007560424283804208,0.0036748555182082553,9.366579024194988e-08,4.137602981607264e-06,0.0,0.0,5.606931986104497e-05,0.005163296278768123,0.43193668126392354,0.015717692582895064,0.16637178840287756,0.35688821969810147,2.613267584128098,1.1742344557602407,5.393963142268189,4.568704676956106,1.1941869494824036,0.9393824143408952,0.7577141931231806,0.566517246922668,2.5491645719995963,0.7327162220308241,0.367584715208112,0.3147265441671012,0.33881490024859995,0.2286983098263103,0.6216151754438562,0.09728633825357469,1.0492322373455534,1.0352516053654133,0.17023857652775812,0.04685792679555302,,,,,
IFAD-0.97,16,-862.3998646132306,0.13347348602265405,-867.8416057465677,5.441741133337018,162170.95037294884,93.0370956892493,4.89719066497905e-07,0.0006913971839569469,437.09893321455013,0.4373345083894725,31.451879261254962,0.08310626181540359,0.09075399757890719,0.002526376681011895,0.009408421805397794,1.0806474501840783e-05,0.0,0.0,0.04793675593337151,0.07480450711209329,0.31217790567658593,0.0004195485160206101,0.12387629546660803,0.3025414607121274,2.485045710604928,1.2507107390241055,5.478294848089354,4.483844726298144,1.0471220877354097,0.8723397265804074,0.9413204063376702,0.6003287859533695,2.814813537585882,0.6880086301150868,0.3159578139535015,0.1980643449013384,0.33361358894283083,0.21238124566745553,0.845422065683335,0.11863972723060641,1.0696267819764387,1.0263108349718706,0.1555677066973356,0.00698265462986925,,,,,
IFAD-0.97,17,-862.5359075453161,0.18815366540700437,-869.5327290632192,6.996821517903072,924.3340274066609,150.89329934440553,8.288997132821301e-05,0.0005306860206893336,2.376710312528012,0.5003056850015727,31.808472438774768,0.14438880018806594,0.0907306931799206,0.0020308589852561653,3.372612912709468e-05,8.814740952023642e-06,0.0,0.0,9.750028702237754e-05,0.009543249618052784,0.3202854566550803,7.061520215952806e-05,0.11917966034600501,0.26233003327278276,2.5036355492738536,1.2506626056723305,5.472495242354615,4.325747564486738,1.184288456773768,1.043868468288624,1.0814126440541152,0.6604814605417406,3.4369936726583594,0.733512250697589,0.3190118034551596,0.18139664661475183,0.3548505802240197,0.2364696376914254,1.159719761379735,0.14413056084201833,1.2033504171878704,1.1927450688159493,0.17336685553976752,0.004705549158514116,,,,,
IFAD-0.97,18,-860.7430260243133,0.1814214276701397,-865.8579148298361,5.11488880552281,2299.8388429004763,55.42590778136462,2.247577780290227e-05,0.001013020632800949,12.98115523139411,0.30446954729213654,25.259104380124537,0.0484621031016,0.005014791444586177,1.3583651427170981e-05,2.5375982147018838e-05,2.2446282451174447e-05,0.0,0.0,5.808917080091134e-05,0.0032776853678772896,0.32884946112835045,0.1852449613529011,0.1201112106768931,0.3137417322426544,2.4243419366868695,1.3030886844323506,5.069939418458683,4.670427621267376,0.9860242783289666,0.993646216216473,0.4505006087648545,0.3644364895634622,1.244843938116707,0.5473147858709193,0.2444631703586036,0.2614049558345823,0.34824388292627156,0.25088542355342097,0.5950652547855548,0.09024309190221942,0.8377022682726212,1.0811590617154518,0.17039438219903974,0.055667354918688905,,,,,
IFAD-0.97,19,-860.7395483973052,0.16784673886577592,-865.2513427723129,4.511794375007753,1064.1774198149744,27.17228465183157,5.1700932638976115e-05,0.0016767290474109713,6.011803620907872,0.18512388078198025,14.014853191781501,0.0005464459497745196,0.0025911828947532403,1.9387559673177153e-05,0.002283973343231386,1.0931453427830655e-05,0.0,0.0,0.0013244853838927312,0.00019564521976615798,0.2948609115070508,0.17598624985993205,0.14804700717008396,0.28651828964292614,2.167843530628778,1.3022281836470764,5.071900393947111,4.484853643451766,0.8448218958850169,0.8759806593999451,0.4536728007606767,0.4183027267825471,1.0139477665233823,0.5352475453972936,0.256044056658363,0.26882351446056424,0.3449670949332231,0.24410496409711546,0.6111244778909757,0.11137512681763702,0.7083484023071615,1.0821913912858256,0.2057109696035086,0.06537697794775123,,,,,
