method,start,if2_elapsed_seconds,evaluation_nstep,euler20_loglik,euler20_se,eval_particles,eval_replicates,evaluation_seed,evaluation_status
IF2 checkpoint (175 updates),65,92.16042757034302,20,-3763.95672412154,0.14836651194683392,5000,36,80696217,ok
IF2 checkpoint (175 updates),66,92.16042757034302,20,-3778.5959051558702,0.12927781703208552,5000,36,80697214,ok
IF2 checkpoint (175 updates),67,92.16042757034302,20,-3772.9946022483214,0.10426193672569735,5000,36,80698211,ok
IF2 checkpoint (175 updates),68,92.16042757034302,20,-3771.9280142513476,0.1281307320453149,5000,36,80699208,ok
IF2 checkpoint (175 updates),69,92.16042757034302,20,-3767.291507619284,0.15906593171922645,5000,36,80700205,ok
IF2 checkpoint (175 updates),70,92.16042757034302,20,-3761.753154033028,0.10417244727463355,5000,36,80701202,ok
IF2 checkpoint (175 updates),71,92.16042757034302,20,-3771.7731253386783,0.2086042524907057,5000,36,80702199,ok
IF2 checkpoint (175 updates),72,92.16042757034302,20,-3754.923262017293,0.23851847954385247,5000,36,80703196,ok
IF2 checkpoint (175 updates),73,92.16042757034302,20,-3757.995169319386,0.15867580870208536,5000,36,80704193,ok
IF2 checkpoint (175 updates),74,92.16042757034302,20,-3772.815003161073,0.11702879193990519,5000,36,80705190,ok
IF2 checkpoint (175 updates),75,92.16042757034302,20,-3751.8245844191315,0.16883537786431663,5000,36,80706187,ok
IF2 checkpoint (175 updates),76,92.16042757034302,20,-3761.2538669210676,0.13825940043511037,5000,36,80707184,ok
IF2 checkpoint (175 updates),77,92.16042757034302,20,-3750.784287317298,0.15107294327028542,5000,36,80708181,ok
IF2 checkpoint (175 updates),78,92.16042757034302,20,-3833.8390934527706,0.17369393825050627,5000,36,80709178,ok
IF2 checkpoint (175 updates),79,92.16042757034302,20,-3757.1423479106033,0.12178158396305297,5000,36,80710175,ok
IF2 checkpoint (175 updates),80,92.16042757034302,20,-3769.987356401483,0.16237567314212356,5000,36,80711172,ok
IF2 checkpoint (175 updates),81,92.16042757034302,20,-3772.583701824465,0.17168875286551852,5000,36,80712169,ok
IF2 checkpoint (175 updates),82,92.16042757034302,20,-3761.0242346157033,0.18203873730319892,5000,36,80713166,ok
IF2 checkpoint (175 updates),83,92.16042757034302,20,-3764.3093117029753,0.11326754040132966,5000,36,80714163,ok
IF2 checkpoint (175 updates),84,92.16042757034302,20,-3825.278914202889,0.11534679207912416,5000,36,80715160,ok
IF2 checkpoint (175 updates),85,92.16042757034302,20,-3796.774892887324,0.2895442595259139,5000,36,80716157,ok
IF2 checkpoint (175 updates),86,92.16042757034302,20,-3765.1957399383396,0.12673107790024643,5000,36,80717154,ok
IF2 checkpoint (175 updates),87,92.16042757034302,20,-3766.1587766454572,0.14546458098510362,5000,36,80718151,ok
IF2 checkpoint (175 updates),88,92.16042757034302,20,-3772.267781166849,0.2637025957619848,5000,36,80719148,ok
IF2 checkpoint (175 updates),89,92.16042757034302,20,-3768.1807412364687,0.15265141714963215,5000,36,80720145,ok
IF2 checkpoint (175 updates),90,92.16042757034302,20,-3756.577435795479,0.18847628975090222,5000,36,80721142,ok
IF2 checkpoint (175 updates),91,92.16042757034302,20,-3756.2920455240633,0.12471345254951426,5000,36,80722139,ok
IF2 checkpoint (175 updates),92,92.16042757034302,20,-3749.296711009243,0.10721668180969551,5000,36,80723136,ok
IF2 checkpoint (175 updates),93,92.16042757034302,20,-3758.73357443942,0.14363182619843004,5000,36,80724133,ok
IF2 checkpoint (175 updates),94,92.16042757034302,20,-3751.478581686056,0.1590764378351549,5000,36,80725130,ok
IF2 checkpoint (175 updates),95,92.16042757034302,20,-3752.2080606613586,0.21390734537046685,5000,36,80726127,ok
IF2 checkpoint (175 updates),96,92.16042757034302,20,-3776.358308229568,0.15487515080714198,5000,36,80727124,ok
IF2 checkpoint (175 updates),97,92.16042757034302,20,-3782.553321393456,0.13825207223662941,5000,36,80728121,ok
IF2 checkpoint (175 updates),98,92.16042757034302,20,-3765.2525571321826,0.12158789938808434,5000,36,80729118,ok
IF2 checkpoint (175 updates),99,92.16042757034302,20,-3758.4511023944488,0.14865172481496355,5000,36,80730115,ok
