method,inference_nstep,evaluation_nstep,start,updates_completed,termination_reason,euler20_loglik,euler20_se,eval_particles,eval_replicates,evaluation_seed,evaluation_status
DS order-1.5 block Gaussian,20,20,83,252,time-budget,-3763.9468400095757,0.14973468020060088,5000,36,32714622,ok
DS order-1.5 block Gaussian,20,20,84,250,time-budget,-3822.637275687819,0.1950700049863629,5000,36,32715619,ok
DS order-1.5 block Gaussian,20,20,85,252,time-budget,-3798.3606556267355,0.22032262562662694,5000,36,32716616,ok
DS order-1.5 block Gaussian,20,20,86,252,time-budget,-3768.7250123092153,0.1612941934364537,5000,36,32717613,ok
DS order-1.5 block Gaussian,20,20,87,252,time-budget,-3764.0725373329756,0.18676046251226547,5000,36,32718610,ok
DS order-1.5 block Gaussian,20,20,88,252,time-budget,-3778.751483337934,0.17498838056416388,5000,36,32719607,ok
DS order-1.5 block Gaussian,20,20,89,252,time-budget,-3768.00061590832,0.13578426463030088,5000,36,32720604,ok
DS order-1.5 block Gaussian,20,20,90,253,time-budget,-3761.03252958245,0.3381431285014625,5000,36,32721601,ok
DS order-1.5 block Gaussian,20,20,91,252,time-budget,-3758.5037320387355,0.14887199602112666,5000,36,32722598,ok
DS order-1.5 block Gaussian,20,20,92,252,time-budget,-3752.1955430629378,0.17593985169060342,5000,36,32723595,ok
DS order-1.5 block Gaussian,20,20,93,252,time-budget,-3761.870917362222,0.2748094337934187,5000,36,32724592,ok
DS order-1.5 block Gaussian,20,20,94,252,time-budget,-3753.451407794702,0.2217665276774556,5000,36,32725589,ok
DS order-1.5 block Gaussian,20,20,95,252,time-budget,-3756.8486795837925,0.24707713516172522,5000,36,32726586,ok
DS order-1.5 block Gaussian,20,20,96,252,time-budget,-3776.706860415344,0.1923625439117978,5000,36,32727583,ok
DS order-1.5 block Gaussian,20,20,97,252,time-budget,-3783.2413714723434,0.1980663542234618,5000,36,32728580,ok
DS order-1.5 block Gaussian,20,20,98,252,time-budget,-3771.353157024815,0.310149516311919,5000,36,32729577,ok
DS order-1.5 block Gaussian,20,20,99,252,time-budget,-3765.922314323532,0.4052251714086067,5000,36,32730574,ok
