model,effort,n_monitors,rep,logLik,se,gamma,epsilon,rho,m,c,beta_trend,bs1,bs2,bs3,bs4,bs5,bs6,sigma,tau,alpha,delta,S_0,I_0,Y_0,R1_0,R2_0,R3_0,omegas1,omegas2,omegas3,omegas4,omegas5,omegas6
IFAD-0.97,comparable,0,10,-3744.5643914406105,0.15390406534817372,20.204736709594727,15.162120819091797,0.0,0.06610677391290665,1.0,-0.00464234035462141,0.9585860967636108,6.167479991912842,-3.300940752029419,4.09647274017334,3.4039230346679688,4.405440330505371,3.082667827606201,0.22223985195159912,1.0,0.019999993965029716,0.01407887414097786,0.3765442669391632,0.0,0.42423227429389954,0.1447470635175705,0.04039754718542099,-2.6203930377960205,-1.9908655881881714,-3.8709707260131836,-3.7885634899139404,-10.644732475280762,-3.515157699584961
IFAD-0.97,comparable,0,11,-3744.3738947992633,0.15698920876337955,23.674909591674805,15.93553638458252,0.0,0.07374465465545654,1.0,-0.0039728013798594475,1.5882022380828857,5.693016529083252,-1.3742238283157349,3.972996473312378,3.580364227294922,4.364935874938965,3.0852386951446533,0.22258895635604858,1.0,0.019999993965029716,0.05377921462059021,0.3603999614715576,0.0,0.3512938320636749,0.1526164561510086,0.08191057294607162,-2.0454626083374023,-2.7480580806732178,-3.2293097972869873,-4.5700812339782715,-9.315166473388672,-5.074424743652344
IFAD-0.97,comparable,0,12,-3745.042097959958,0.12456978952779692,19.551694869995117,14.915726661682129,0.0,0.06555034965276718,1.0,-0.00459664361551404,0.7846887707710266,6.315080165863037,-3.8613221645355225,4.1293463706970215,3.354802370071411,4.434772968292236,3.0494301319122314,0.22875390946865082,1.0,0.019999993965029716,0.0059593478217720985,0.3839317262172699,0.0,0.40885263681411743,0.12373343855142593,0.07752282172441483,-2.6782891750335693,-1.7987858057022095,-4.11992073059082,-3.467008352279663,-11.3280029296875,-3.169916868209839
IFAD-0.97,comparable,0,13,-3743.9423151913743,0.14419582676880832,22.20476722717285,15.262563705444336,0.0,0.0728510171175003,1.0,-0.004398938734084368,1.3807761669158936,5.8242597579956055,-1.9711358547210693,3.993501663208008,3.532191753387451,4.35660982131958,3.0892744064331055,0.22218452394008636,1.0,0.019999993965029716,0.008317637257277966,0.35552942752838135,0.0,0.1976085901260376,0.38321182131767273,0.05533255264163017,-2.502047061920166,-2.232365131378174,-3.602773427963257,-4.136051654815674,-10.42078685760498,-3.9074416160583496
IFAD-0.97,comparable,0,14,-3743.9734394519705,0.13628270110299823,22.326204299926758,15.440383911132812,0.0,0.0721784383058548,1.0,-0.004347877576947212,1.3789702653884888,5.8335161209106445,-2.0012638568878174,3.9933884143829346,3.519688367843628,4.353219032287598,3.1000616550445557,0.22170373797416687,1.0,0.019999993965029716,0.051866959780454636,0.35916537046432495,0.0,0.4553719758987427,0.06191505864262581,0.07168063521385193,-2.4592387676239014,-2.27567982673645,-3.539788007736206,-4.182809829711914,-10.108954429626465,-3.9802839756011963
IFAD-0.97,comparable,0,15,-3744.4462859489104,0.14677517686806538,23.88918113708496,16.005329132080078,0.0,0.07528932392597198,1.0,-0.0039765420369803905,1.6093560457229614,5.651737213134766,-1.2976410388946533,3.9443273544311523,3.5924508571624756,4.350524425506592,3.120612621307373,0.2203359454870224,1.0,0.019999993965029716,0.08440195769071579,0.35381555557250977,0.0,0.38986435532569885,0.14001056551933289,0.03190763667225838,-2.370511054992676,-2.4403278827667236,-3.3797826766967773,-4.429634094238281,-9.897205352783203,-4.280187129974365
IFAD-0.97,comparable,0,16,-3744.185505656665,0.14256441690885716,20.714506149291992,15.149701118469238,0.0,0.06817525625228882,1.0,-0.004303331486880779,1.0857425928115845,6.0649614334106445,-2.9039995670318604,4.06402063369751,3.4363811016082764,4.392128944396973,3.0807881355285645,0.22649161517620087,1.0,0.019999993965029716,0.029613977298140526,0.37972739338874817,0.0,0.5508630275726318,0.020451750606298447,0.019343754276633263,-2.5971627235412598,-2.017423629760742,-3.8475987911224365,-3.8079278469085693,-10.796340942382812,-3.545703172683716
IFAD-0.97,comparable,0,17,-3743.7710315507147,0.22856927868884006,22.24458122253418,14.923828125,0.0,0.07206804305315018,1.0,-0.00431852787733078,1.3892238140106201,5.815871715545654,-2.0215072631835938,4.000718116760254,3.5276095867156982,4.340214729309082,3.075680732727051,0.22369499504566193,1.0,0.019999993965029716,0.0028553165029734373,0.3599981367588043,0.0,0.2984386384487152,0.25003349781036377,0.08867447823286057,-2.6184017658233643,-2.1608524322509766,-3.6872830390930176,-4.0525665283203125,-10.65360164642334,-3.7864890098571777
IFAD-0.97,comparable,0,18,-3744.497733229321,0.10974505857704284,21.438276290893555,14.657480239868164,0.0,0.07224652916193008,1.0,-0.004387684632092714,1.2801215648651123,5.906533241271973,-2.4201502799987793,4.029635429382324,3.5051801204681396,4.337695121765137,3.0213706493377686,0.22810250520706177,1.0,0.019999993965029716,0.07931537926197052,0.3614161014556885,0.0,0.527858555316925,0.01638592593371868,0.015024051070213318,-2.9302449226379395,-1.8526616096496582,-4.0625481605529785,-3.5632596015930176,-12.121530532836914,-3.168860912322998
IFAD-0.97,comparable,0,19,-3744.6214823000973,0.11946655328007709,21.099964141845703,14.85876750946045,0.0,0.07084786891937256,1.0,-0.004479365423321724,1.1844648122787476,5.995398044586182,-2.636521100997925,4.038419246673584,3.467188596725464,4.367012977600098,3.048583507537842,0.22593842446804047,1.0,0.019999993965029716,0.0396050363779068,0.37437865138053894,0.0,0.559891939163208,0.022843195125460625,0.0032812103163450956,-2.793395757675171,-1.8634257316589355,-4.000027179718018,-3.637697696685791,-11.659065246582031,-3.2325947284698486
