method,inference_nstep,start,start_type,starts_file,particles,updates_completed,termination_reason,elapsed_seconds,optimizer_elapsed_seconds,elapsed_time_offset_seconds,output_selected_iteration,output_selected_elapsed_seconds,initial_pseudo_loglik,selected_pseudo_loglik,terminal_pseudo_loglik,minimum_ess,maximum_invalid_fraction,restarts,gamma,m,epsilon,beta_trend,sigma,tau,bs1,bs2,bs3,bs4,bs5,bs6,omegas1,omegas2,omegas3,omegas4,omegas5,omegas6,S_0,I_0,R1_0,R2_0,R3_0,raw_0,raw_1,raw_2,raw_3,raw_4,raw_5,raw_6,raw_7,raw_8,raw_9,raw_10,raw_11,raw_12,raw_13,raw_14,raw_15,raw_16,raw_17,raw_18,raw_19,raw_20,raw_21,raw_22
Corenflos DPF,20,28,if2-warm-start,../ditlevsen/results/reference/ifad097_comparable_post_if2.npz,100,162,time-budget,860.7430333157536,616.3005997200962,244.44243359565735,161,857.0690829236992,-7039.5771336041435,-4207.130536201914,-4234.368255270015,1.000000000000032,0.11,1,23.979391695607703,0.2929563889145841,7.664154968036062,-0.002682147961973408,4.899192106824731,0.5,3.829871134750672,4.575970243949602,-3.106710181165032,3.672428090853892,4.693719942335454,2.119610604967686,-6.430450408763012,-2.697041301449004,-5.609192260889831,-5.314402562090493,-4.383548518528948,-6.626019857991259,0.11620841387265766,0.2036252017247484,0.2745987436377017,0.2745987436377017,0.13096889712719045,3.1771947821219744,-1.2277315243382672,2.03655426071936,-0.2682147961973408,1.5890703153647947,-0.6931471805599453,3.829871134750672,4.575970243949602,-3.106710181165032,3.672428090853892,4.693719942335454,2.119610604967686,-6.430450408763012,-2.697041301449004,-5.609192260889831,-5.314402562090493,-4.383548518528948,-6.626019857991259,-0.859925667739223,-0.2990298604887217,0.0,0.0,-0.7403510495773076
Corenflos DPF,20,29,if2-warm-start,../ditlevsen/results/reference/ifad097_comparable_post_if2.npz,100,175,maximum-updates,715.2203137294855,470.77788013382815,244.44243359565735,175,715.2203137294855,-17908.19825968965,-5191.973760272736,-5191.973760272736,1.0000000000000018,0.08,4,14.931284300850727,0.2863350268278988,8.619725732502758,-0.003687782652266104,4.996885505491568,0.5,2.053022846667253,2.7637349379645193,-3.9989259766116083,5.398899964638603,4.321026964066671,4.523623611633836,0.0,-6.961879052738779,-7.453966746566067,-4.001075062619874,-9.871467733464765,-2.7682270788856793,0.22060287865325617,0.1936283787495421,0.1706143474553082,0.2068972886661991,0.20825710647569426,2.7034586293417995,-1.2505927312670713,2.154053266594326,-0.3687782652266104,1.6088148194502934,-0.6931471805599453,2.053022846667253,2.7637349379645193,-3.9989259766116083,5.398899964638603,4.321026964066671,4.523623611633836,0.0,-6.961879052738779,-7.453966746566067,-4.001075062619874,-9.871467733464765,-2.7682270788856793,0.0,-0.1304234073829259,-0.2569584244391936,-0.06414167582906258,-0.05759075073512372
Corenflos DPF,20,30,if2-warm-start,../ditlevsen/results/reference/ifad097_comparable_post_if2.npz,100,134,maximum-restarts,764.3968671585899,519.9544335629325,244.44243359565735,134,764.3968671585899,-11886.725626987392,-6022.223062296123,-6022.223062296123,1.000000000000071,0.51,6,12.179084599633658,0.4253606725460262,22.023531322176325,-0.005247849036043206,4.998060176606845,0.5,-3.2198125924461043,1.7666174510945172,0.0949698872449361,6.980494652473345,0.32358728002170756,1.3410410259899932,-4.838457340548848,-8.283744511763608,-5.960310611932559,-7.4395220796424,-3.5522324557843263,-5.347991747311214,0.2791514083819574,0.14667647231880987,0.25125046711090643,0.043696397666257894,0.2792252545220684,2.4997201034338863,-0.854817828665369,3.0921114872913344,-0.5247849036043206,1.6090498724777027,-0.6931471805599453,-3.2198125924461043,1.7666174510945172,0.0949698872449361,6.980494652473345,0.32358728002170756,1.3410410259899932,-4.838457340548848,-8.283744511763608,-5.960310611932559,-7.4395220796424,-3.5522324557843263,-5.347991747311214,-0.00026450296170128584,-0.6437895272283033,-0.10556850143740427,-1.8547531545195215,0.0
Corenflos DPF,20,31,if2-warm-start,../ditlevsen/results/reference/ifad097_comparable_post_if2.npz,100,154,time-budget,860.1314318175428,615.6889982218854,244.44243359565735,153,856.6491684967186,-11960.695496654856,-4137.961133817933,-4149.442749631167,1.0000000000000107,0.27,1,11.253713959409966,0.19126765181669003,30.000000000000004,-0.0041148496061713955,4.999999999999999,0.5,-2.5811200731396093,6.629037123327237,-2.0666367509960923,2.922344045825231,2.9263012818755794,1.7728830881696176,-5.766730542221471,-5.372828998745663,-4.5874141883875765,-4.876689131678884,-3.381630996698535,0.0,0.27299673400355984,0.138287519425662,0.27299673400355984,0.14915176742639186,0.16656724514082638,2.420698203894932,-1.654081513453873,3.4011973816621555,-0.4114849606171396,1.6094379124341003,-0.6931471805599453,-2.5811200731396093,6.629037123327237,-2.0666367509960923,2.922344045825231,2.9263012818755794,1.7728830881696176,-5.766730542221471,-5.372828998745663,-4.5874141883875765,-4.876689131678884,-3.381630996698535,0.0,0.0,-0.6801248399224405,0.0,-0.6044954708733573,-0.4940607291517399
Corenflos DPF,20,32,if2-warm-start,../ditlevsen/results/reference/ifad097_comparable_post_if2.npz,100,175,maximum-updates,651.3516549656633,406.909221370006,244.44243359565735,175,651.3516549656633,-9946.876027518703,-5381.8058644393095,-5381.8058644393095,1.0000000000000888,0.13,5,15.058773531710845,0.30628352391408487,10.409119377428153,-0.005858156728467209,4.999999999999999,0.5,2.95601773804258,2.6981161381153447,-3.592928331160097,5.527341019667797,4.516827077554554,6.102103273002906,-2.322048736055815,-6.577902881874027,-2.627509964236887,-5.414780203420145,-9.196442284090882,-3.8597168621854157,0.2379310101958651,0.1346819512633262,0.21469283989128413,0.3078319389374267,0.10486225971209788,2.711960780258008,-1.1832440572722387,2.3426822851416134,-0.5858156728467209,1.6094379124341003,-0.6931471805599453,2.95601773804258,2.6981161381153447,-3.592928331160097,5.527341019667797,4.516827077554554,6.102103273002906,-2.322048736055815,-6.577902881874027,-2.627509964236887,-5.414780203420145,-9.196442284090882,-3.8597168621854157,-0.25757322272682476,-0.8266378989177401,-0.3603456262869484,0.0,-1.0769063045374871
Corenflos DPF,20,33,if2-warm-start,../ditlevsen/results/reference/ifad097_comparable_post_if2.npz,100,33,maximum-restarts,287.57528997561894,43.132856379961595,244.44243359565735,31,285.94255019072443,-6041.095495684052,-5749.515681505878,-23495.048901011636,1.0000000000404725,1.0,6,26.350443405483155,0.37622337298645664,15.111002847969973,-0.004445881265455084,2.4798954908788127,0.5,3.4729120657338455,5.523026675739374,3.422840261543723,0.36302317293910924,7.339899428895685,7.090783613856624,-3.920482182685572,-2.0527560314608557,-3.778881257378419,-5.01248004462688,-5.563728506220455,-3.198728735271775,0.009523539958197548,0.18339946222254302,0.024323104075458166,0.3917236526766169,0.39103024106718437,3.2714851023783575,-0.9775722348945404,2.7154231439015923,-0.44458812654550833,0.9082164185142712,-0.6931471805599453,3.4729120657338455,5.523026675739374,3.422840261543723,0.36302317293910924,7.339899428895685,7.090783613856624,-3.920482182685572,-2.0527560314608557,-3.778881257378419,-5.01248004462688,-5.563728506220455,-3.198728735271775,-3.716789999487443,-0.7588899959694623,-2.779129939887201,0.0,-0.0017717236448387258
Corenflos DPF,20,34,if2-warm-start,../ditlevsen/results/reference/ifad097_comparable_post_if2.npz,100,175,maximum-updates,603.3347582526039,358.8923246569466,244.44243359565735,175,603.3347582526039,-12251.875616882247,-6204.2573654330145,-6204.2573654330145,1.000000000000071,0.03,1,10.006930245027062,0.6,30.000000000000004,-0.0022653677528174762,2.1242892335002015,0.5,1.5656728074314812,2.9410494803989344,2.3852054614251124,7.851235978621536,2.11525264190267,6.194186655061746,-0.6588645331816029,-0.29661937461875093,-6.784168027376693,-1.8338153829601358,-7.165800130379111,-8.008183912698698,0.0489455644210556,0.5028577074972931,0.16032901768465566,0.12824121441125,0.15962649598574563,2.303277877466163,-0.5108256237659907,3.4011973816621555,-0.22653677528174762,0.7534372680731731,-0.6931471805599453,1.5656728074314812,2.9410494803989344,2.3852054614251124,7.851235978621536,2.11525264190267,6.194186655061746,-0.6588645331816029,-0.29661937461875093,-6.784168027376693,-1.8338153829601358,-7.165800130379111,-8.008183912698698,-2.3295984920123867,0.0,-1.1430791780524636,-1.3663942643117195,-1.1474705562151013
Corenflos DPF,20,35,if2-warm-start,../ditlevsen/results/reference/ifad097_comparable_post_if2.npz,100,175,maximum-updates,741.7295095066074,497.2870759109501,244.44243359565735,175,741.7295095066074,-6042.503010138438,-4370.368358722154,-4370.368358722154,1.0000000000002665,0.11,0,11.18569354119749,0.10073814927606417,4.8304769039963835,-0.009500376413592682,4.999999999999999,0.5,2.0865056910160313,1.4441118170881462,-3.4576223825665475,4.888246598931623,1.1262785690630195,5.1519264977154595,-0.11581954509741464,-5.723267279623862,-5.02632213259435,-2.1069462869684386,-9.349252537036298,-7.1434645671220744,0.0002554318692826197,0.11245519332649741,0.3045828392799772,0.32235150500012727,0.26035503052411546,2.4146355993852215,-2.295230710125186,1.574945200677667,-0.9500376413592682,1.6094379124341003,-0.6931471805599453,2.0865056910160313,1.4441118170881462,-3.4576223825665475,4.888246598931623,1.1262785690630195,5.1519264977154595,-0.11581954509741464,-5.723267279623862,-5.02632213259435,-2.1069462869684386,-9.349252537036298,-7.1434645671220744,-7.140442141909972,-1.0530877198172741,-0.05669948025278357,0.0,-0.21359637900303052
Corenflos DPF,20,36,if2-warm-start,../ditlevsen/results/reference/ifad097_comparable_post_if2.npz,100,175,maximum-updates,744.104577830527,499.66214423486963,244.44243359565735,175,744.104577830527,-10653.193984735244,-4491.204975429509,-4491.204975429509,1.0000000000003837,0.1,1,30.681273628667356,0.31090087926471355,12.635987812236294,-2.3461347631008336e-06,4.88412828869034,0.5,1.7581352348072103,6.39121871996259,-1.2558034486213403,0.0,6.167201586013656,4.360852111513427,-4.633475990326024,-4.192829311270719,-2.410636923885446,-6.451708566528645,-1.5704020888069923,-7.4919743307246875,0.0059394425033814265,0.0667902541039677,0.3858090031360889,0.3854645443710072,0.15599675588555487,3.4236524889577193,-1.168281133794334,2.5365489184123313,-0.00023461347631008336,1.5859908230390973,-0.6931471805599453,1.7581352348072103,6.39121871996259,-1.2558034486213403,0.0,6.167201586013656,4.360852111513427,-4.633475990326024,-4.192829311270719,-2.410636923885446,-6.451708566528645,-1.5704020888069923,-7.4919743307246875,-4.173727162157098,-1.7537852632259778,0.0,-0.0008932208010947597,-0.9055072250495487
Corenflos DPF,20,37,if2-warm-start,../ditlevsen/results/reference/ifad097_comparable_post_if2.npz,100,175,maximum-updates,545.4277750817128,300.9853414860554,244.44243359565735,175,545.4277750817128,-12329.128352495954,-5750.8996652720725,-5750.8996652720725,1.0000000120733787,0.15,0,10.000000000000002,0.5980281475361954,18.408711409464413,0.0,4.73028320101191,0.5,-3.3268235052815918,3.4897163228575425,-2.9251744423303854,6.660300980563699,4.330298875154235,6.559452403147059,-1.864802898955921,-2.23347521536262,-2.3167068540959184,-6.87601832872461,-6.435526828714437,-5.758991865642158,0.30560482470142075,0.147740687649846,0.30560482470142075,0.20098647196733324,0.04006319097997929,2.302585092994046,-0.5141174566807168,2.9128239987412097,0.0,1.5539850740755434,-0.6931471805599453,-3.3268235052815918,3.4897163228575425,-2.9251744423303854,6.660300980563699,4.330298875154235,6.559452403147059,-1.864802898955921,-2.23347521536262,-2.3167068540959184,-6.87601832872461,-6.435526828714437,-5.758991865642158,0.0,-0.726834218254025,0.0,-0.4190552426543055,-2.0318348627209444
Corenflos DPF,20,38,if2-warm-start,../ditlevsen/results/reference/ifad097_comparable_post_if2.npz,100,175,maximum-updates,544.720091400668,300.2776578050107,244.44243359565735,175,544.720091400668,-6859.866181300691,-5829.16078476837,-5829.16078476837,1.000000175477518,0.0,4,16.13745474024387,0.20941926649490267,23.27694706136459,-0.0015692451090599721,3.1596155449382786,0.5,1.625625203413364,6.587254492710164,1.449841635800052,4.765017660006782,5.616331581367376,1.3654375149717288,-5.731639247267801,-5.203059038833873,-5.550045915603234,-6.076863882700695,-2.40153047108856,-4.994218585429967,0.132083176945795,0.10379410371372903,0.25944223922562315,0.2590944649793245,0.2455860151355284,2.78114295153638,-1.5634169766840946,3.147463474287891,-0.1569245109059972,1.1504503572030627,-0.6931471805599453,1.625625203413364,6.587254492710164,1.449841635800052,4.765017660006782,5.616331581367376,1.3654375149717288,-5.731639247267801,-5.203059038833873,-5.550045915603234,-6.076863882700695,-2.40153047108856,-4.994218585429967,-0.675102240441816,-0.9161249281388683,0.0,-0.0013413681061472263,-0.0548868399367297
Corenflos DPF,20,39,if2-warm-start,../ditlevsen/results/reference/ifad097_comparable_post_if2.npz,100,163,time-budget,861.593759003561,617.1513254079036,244.44243359565735,162,857.7950207237154,-19881.14051096816,-4256.478199350226,-4184.5128495144145,1.0000000000000107,0.8300000000000001,2,13.781378007477157,0.14231246123602684,14.260239547548046,-0.0006079885982667681,4.9561798725748645,0.5,-0.4905122904382107,4.448281389905975,1.1209101452876993,2.752188592615398,3.999369001595388,3.888727236673418,-6.815585452336553,-3.7451380539293324,-8.642350708692076,-1.2961303045389971,-8.385664980609366,-5.753459960513959,0.160513345481374,0.09036922344768059,0.31645596489920674,0.15375616700814526,0.27890529916359336,2.623318261128401,-1.9497302075445007,2.6574752134108373,-0.06079885982667681,1.6006352570095927,-0.6931471805599453,-0.4905122904382107,4.448281389905975,1.1209101452876993,2.752188592615398,3.999369001595388,3.888727236673418,-6.815585452336553,-3.7451380539293324,-8.642350708692076,-1.2961303045389971,-8.385664980609366,-5.753459960513959,-0.6788070119344393,-1.2532803396196994,0.0,-0.7218160839601483,-0.12631180578349285
Corenflos DPF,20,40,if2-warm-start,../ditlevsen/results/reference/ifad097_comparable_post_if2.npz,100,175,maximum-updates,838.7773261417169,594.3348925460596,244.44243359565735,175,838.7773261417169,-7961.347645600602,-4338.099699195729,-4338.099699195729,1.0000000000000107,0.9400000000000001,2,10.000000000000002,0.1287386693960293,17.46253054135458,-0.0038161789370050143,3.265317723239608,0.5,2.3175685780742543,4.221009085451515,-3.487513240801742,2.2975727952700726,4.371188877567265,1.7464862025616583,-6.5215506257547435,-2.2374189711168686,-5.643254222993877,-0.5750335835433402,-7.504402927073794,-6.3222854807792475,0.2234349301543228,0.100475443100152,0.22611381375527428,0.2254309675827567,0.22454484540749417,2.302585092994046,-2.049970748001966,2.860057473549601,-0.3816178937005014,1.1833570698590192,-0.6931471805599453,2.3175685780742543,4.221009085451515,-3.487513240801742,2.2975727952700726,4.371188877567265,1.7464862025616583,-6.5215506257547435,-2.2374189711168686,-5.643254222993877,-0.5750335835433402,-7.504402927073794,-6.3222854807792475,-0.011918241780113088,-0.8111251228157664,0.0,-0.00302449157323806,-0.00696302913524615
Corenflos DPF,20,41,if2-warm-start,../ditlevsen/results/reference/ifad097_comparable_post_if2.npz,100,175,maximum-updates,599.1280564477202,354.6856228520628,244.44243359565735,175,599.1280564477202,-14311.846111002837,-5684.6047456378055,-5684.6047456378055,1.000000000000199,0.54,1,10.000000000000002,0.3744036700870184,30.000000000000004,-0.003180462747224411,4.999999999999999,0.5,0.15918991183853207,3.0415326774391707,-0.06787014065916827,5.326690981876865,6.569598528089661,4.357489324043491,-7.044532678049241,-1.4395280540737485,-8.77148280077457,-1.0719372695822427,-3.01835458563844,-6.384330786835637,0.03742288678201262,0.19047693718572795,0.3170815548221422,0.3170815548221422,0.13793706638797507,2.302585092994046,-0.9824207318438967,3.4011973816621555,-0.3180462747224411,1.6094379124341003,-0.6931471805599453,0.15918991183853207,3.0415326774391707,-0.06787014065916827,5.326690981876865,6.569598528089661,4.357489324043491,-7.044532678049241,-1.4395280540737485,-8.77148280077457,-1.0719372695822427,-3.01835458563844,-6.384330786835637,-2.136876548220174,-0.5096278889251581,0.0,0.0,-0.8323614710489635
