method,effort,replicate,euler_loglik
IFAD-1,comparable,13,-3745.2618111632287
IFAD-1,comparable,14,-3744.7127694481537
IFAD-1,comparable,15,-3744.910989918354
IFAD-1,comparable,16,-3746.894695925128
IFAD-1,comparable,17,-3746.099320506015
IFAD-1,comparable,18,-3746.490990297366
IFAD-1,comparable,19,-3745.7957018210864
IFAD-1,comparable,20,-3750.112372386914
IFAD-1,comparable,21,-3744.6238442550616
IFAD-1,comparable,22,-3745.946576883428
IFAD-1,comparable,23,-3745.4325021101554
IFAD-1,comparable,24,-3746.1162555382493
IFAD-1,comparable,25,-3746.4578007568834
IFAD-1,comparable,26,-3745.0891675941994
IFAD-1,comparable,27,-3747.6134626329026
IFAD-1,comparable,28,-3746.3673140586043
IFAD-1,comparable,29,-3750.725913624028
IFAD-1,comparable,30,-3746.201632946636
IFAD-1,comparable,31,-3744.845519592624
IFAD-1,comparable,32,-3746.571133992046
IFAD-1,comparable,33,-3746.3647237780897
IFAD-1,comparable,34,-3747.2035264411343
IFAD-1,comparable,35,-3746.4992086986667
IFAD-1,comparable,36,-3747.03590907181
IFAD-1,comparable,37,-3746.779775024981
IFAD-1,comparable,38,-3747.9314881602063
IFAD-1,comparable,39,-3746.681419226322
IFAD-1,comparable,40,-3755.364266923959
IFAD-1,comparable,41,-3752.909998744378
IFAD-1,comparable,42,-3746.9895436985494
IFAD-1,comparable,43,-3748.4118296998004
IFAD-1,comparable,44,-3747.023627452058
IFAD-1,comparable,45,-3750.8265589464145
IFAD-1,comparable,46,-3746.562877713374
IFAD-1,comparable,47,-3744.925127905731
IFAD-1,comparable,48,-3744.5539794334636
IFAD-1,comparable,49,-3749.6425611531645
IFAD-1,comparable,50,-24867.998046875
IFAD-1,comparable,51,-3745.80178116604
IFAD-1,comparable,52,-3748.7765714550846
IFAD-1,comparable,53,-3744.9119356859305
IFAD-1,comparable,54,-3748.50640195925
IFAD-1,comparable,55,-3745.934616102771
IFAD-1,comparable,56,-3747.8837935504216
IFAD-1,comparable,57,-3746.6072065559365
IFAD-1,comparable,58,-3750.2998995639696
IFAD-1,comparable,59,-3749.0480452832026
IFAD-1,comparable,60,-3748.138269467041
IFAD-1,comparable,61,-3744.640745014433
IFAD-1,comparable,62,-3746.589233075675
IFAD-1,comparable,63,-3749.2669708405574
IFAD-1,comparable,64,-3746.6471656262706
IFAD-1,comparable,65,-3754.0767162613824
IFAD-1,comparable,66,-3749.0183855021687
IFAD-1,comparable,67,-3747.8458088103657
IFAD-1,comparable,68,-3745.8232315503315
IFAD-1,comparable,69,-3751.2306487436435
IFAD-1,comparable,70,-3750.8094036002562
IFAD-1,comparable,71,-3747.2325094072503
IFAD-1,comparable,72,-3752.201358638535
IFAD-1,comparable,73,-3746.7699021601825
IFAD-1,comparable,74,-3752.0769451450346
IFAD-1,comparable,75,-3746.385774509806
IFAD-1,comparable,76,-24867.998046875
IFAD-1,comparable,77,-3746.9068919381484
IFAD-1,comparable,78,-3745.5439331444513
IFAD-1,comparable,79,-3749.425619462215
IFAD-1,comparable,80,-3745.4810425796477
IFAD-1,comparable,81,-3744.7654034199695
IFAD-1,comparable,82,-3746.7381094950865
IFAD-1,comparable,83,-3744.3561273421365
IFAD-1,comparable,84,-3749.223141588666
IFAD-1,comparable,85,-3750.827167392224
IFAD-1,comparable,86,-3746.092091806449
IFAD-1,comparable,87,-3747.235071913052
IFAD-1,comparable,88,-3747.278613676357
IFAD-1,comparable,89,-3746.525200742367
IFAD-1,comparable,90,-3745.848507379694
IFAD-1,comparable,91,-3744.4446649090733
IFAD-1,comparable,92,-3745.8715803677424
IFAD-1,comparable,93,-3745.2432157220996
IFAD-1,comparable,94,-3747.7780934624616
IFAD-1,comparable,95,-3745.7936985428205
IFAD-1,comparable,96,-3745.243558476596
IFAD-1,comparable,97,-3748.3216570994673
IFAD-1,comparable,98,-3747.4987991329535
IFAD-1,comparable,99,-3747.4864923049117
IF2,comparable,0,-3751.7424031215483
IF2,comparable,1,-3767.035922725715
IF2,comparable,2,-3760.474207827058
IF2,comparable,3,-3752.176960584302
IF2,comparable,4,-3761.6230668948047
IF2,comparable,5,-3799.391522764564
IF2,comparable,6,-3759.5808206176525
IF2,comparable,7,-3759.546686178612
IF2,comparable,8,-3757.7375105812266
IF2,comparable,9,-3761.66701001494
IF2,comparable,10,-3773.777757383462
IF2,comparable,11,-3752.542614550457
IF2,comparable,12,-3780.285641841382
IF2,comparable,13,-3752.1242349687736
IF2,comparable,14,-3774.6712583600106
IF2,comparable,15,-3750.550667418571
IF2,comparable,16,-3752.974666194556
IF2,comparable,17,-3757.096578447395
IF2,comparable,18,-3758.464704785593
IF2,comparable,19,-3818.9858673637063
IF2,comparable,20,-3754.9717572550003
IF2,comparable,21,-3760.1435562353763
IF2,comparable,22,-3752.1599966738404
IF2,comparable,23,-3754.2872863632297
IF2,comparable,24,-3751.477317754118
IF2,comparable,25,-3754.500237209549
IF2,comparable,26,-3749.2831464730766
IF2,comparable,27,-3754.387662974088
IF2,comparable,28,-3754.3926882615174
IF2,comparable,29,-3755.1273292972414
IF2,comparable,30,-3755.7408115856606
IF2,comparable,31,-3765.1756662534963
IF2,comparable,32,-3755.6585856540773
IF2,comparable,33,-3759.9891356199096
IF2,comparable,34,-3760.355497728736
IF2,comparable,35,-3753.981142683836
IF2,comparable,36,-3772.7893250693937
IF2,comparable,37,-3751.93774280294
IF2,comparable,38,-3751.9630711256773
IF2,comparable,39,-3753.3441634907886
IF2,comparable,40,-3755.9781506305603
IF2,comparable,41,-3759.241205447193
IF2,comparable,42,-3756.5597856069917
IF2,comparable,43,-3754.1696151981855
IF2,comparable,44,-3755.907578638685
IF2,comparable,45,-3750.9504147711805
IF2,comparable,46,-3750.922800404018
IF2,comparable,47,-3748.5934048845534
IF2,comparable,48,-3765.3293900127983
IF2,comparable,49,-3750.090366260519
IF2,comparable,50,-3753.6985257411693
IF2,comparable,51,-3760.0797671088103
IF2,comparable,52,-3773.5003930076555
IF2,comparable,53,-3754.6627043399785
IF2,comparable,54,-3754.691186167105
IF2,comparable,55,-3749.525521345808
IF2,comparable,56,-3751.430170740258
IF2,comparable,57,-3752.1860796885608
IF2,comparable,58,-3752.3460357036547
IF2,comparable,59,-3769.129307324262
IF2,comparable,60,-3771.4788332369912
IF2,comparable,61,-3758.542768411011
IF2,comparable,62,-3750.3204807120646
IF2,comparable,63,-3774.9118697817757
IF2,comparable,64,-3753.0515430371615
IF2,comparable,65,-3760.459250744468
IF2,comparable,66,-3750.1717097391925
IF2,comparable,67,-3775.163989288304
IF2,comparable,68,-3767.0074492530757
IF2,comparable,69,-3894.271914798752
IF2,comparable,70,-3747.8157647799003
IF2,comparable,71,-3765.187109045644
IF2,comparable,72,-3756.571047367366
IF2,comparable,73,-3752.4980749777933
IF2,comparable,74,-3818.636920969738
IF2,comparable,75,-3759.4601661748807
IF2,comparable,76,-3752.212291974096
IF2,comparable,77,-3756.249897083028
IF2,comparable,78,-3749.9232236754074
IF2,comparable,79,-3751.845876780634
IF2,comparable,80,-3753.265683656623
IF2,comparable,81,-3772.719565849663
IF2,comparable,82,-3754.5392381492643
IF2,comparable,83,-3750.5103715471287
IF2,comparable,84,-3752.4510482710775
IF2,comparable,85,-3748.0303568086924
IF2,comparable,86,-3752.7401821266244
IF2,comparable,87,-3762.375875722763
IF2,comparable,88,-3755.69395858394
IF2,comparable,89,-3762.128983942119
IF2,comparable,90,-3798.4478168581813
IF2,comparable,91,-3773.4113547414563
IF2,comparable,92,-3754.3301370630847
IF2,comparable,93,-3761.1905522726424
IF2,comparable,94,-3755.1527904470954
IF2,comparable,95,-3798.7615618045334
IF2,comparable,96,-3753.0719792631253
