method,order,inference_nstep,start,iteration,approx_loglik,gradient_norm
DS-local+nugget QML,2,10,1,5,-5987.340877235243,1600.2091940801597
DS-local+nugget QML,2,10,1,6,-5975.831293798596,1586.3806632301623
DS-local+nugget QML,2,10,1,7,-5964.360198374329,1572.7956574490015
DS-local+nugget QML,2,10,1,8,-5952.926253658314,1559.454532371036
DS-local+nugget QML,2,10,1,9,-5941.528141311237,1546.3574616983929
DS-local+nugget QML,2,10,1,10,-5930.164571553228,1533.5043406068828
DS-local+nugget QML,2,10,1,11,-5918.834294187612,1520.894668008026
DS-local+nugget QML,2,10,1,12,-5907.700679431675,1508.6622797046414
DS-local+nugget QML,2,10,1,13,-5896.727653167885,1496.7669818507622
DS-local+nugget QML,2,10,1,14,-5885.791171640582,1485.1039844090058
DS-local+nugget QML,2,10,1,15,-5874.890438581656,1473.6718162012028
DS-local+nugget QML,2,10,1,16,-5864.024695065743,1462.4683863446962
DS-local+nugget QML,2,10,1,17,-5853.193231631828,1451.490881732522
DS-local+nugget QML,2,10,1,18,-5842.395400287609,1440.7356504771706
DS-local+nugget QML,2,10,1,19,-5831.630626774275,1430.1980748760373
DS-local+nugget QML,2,10,1,20,-5820.898423320499,1419.8724388145142
DS-local+nugget QML,2,10,1,21,-5810.19840198608,1409.7517967399322
DS-local+nugget QML,2,10,1,22,-5799.530288570272,1399.8278545834085
DS-local+nugget QML,2,10,1,23,-5788.893936908547,1390.0908774532284
DS-local+nugget QML,2,10,1,24,-5778.28934319201,1380.5296447873175
DS-local+nugget QML,2,10,1,25,-5767.717476832594,1371.1330242787596
DS-local+nugget QML,2,10,2,0,-6069.719841470599,3447.3279060136533
DS-local+nugget QML,2,10,2,1,-6041.38748353415,3396.460442041364
DS-local+nugget QML,2,10,2,2,-6013.704666666924,3350.0343555788004
DS-local+nugget QML,2,10,2,3,-5986.654863253233,3307.244292191045
DS-local+nugget QML,2,10,2,4,-5960.222277561621,3262.6738622332346
DS-local+nugget QML,2,10,2,5,-5934.400686546165,3215.707900826774
DS-local+nugget QML,2,10,2,6,-5909.147631262578,3171.331090846388
DS-local+nugget QML,2,10,2,7,-5884.393909140553,3130.227776937418
DS-local+nugget QML,2,10,2,8,-5860.059495366689,3091.6781927992483
DS-local+nugget QML,2,10,2,9,-5836.070090913125,3054.1771918050886
DS-local+nugget QML,2,10,2,10,-5812.375285557364,3016.6465467409025
DS-local+nugget QML,2,10,2,11,-5788.951812714374,2977.554428876706
DS-local+nugget QML,2,10,2,12,-5765.816598258307,2933.7209770356117
DS-local+nugget QML,2,10,2,13,-5743.009348698084,2881.9257127221135
DS-local+nugget QML,2,10,2,14,-5720.577067474583,2826.348418735692
DS-local+nugget QML,2,10,2,15,-5698.613944966238,2748.5700154827005
DS-local+nugget QML,2,10,2,16,-5677.474886172831,2670.2541128906328
DS-local+nugget QML,2,10,2,17,-5658.584364237481,2571.6608211952557
DS-local+nugget QML,2,10,2,18,-5640.414847764408,2469.882627896725
DS-local+nugget QML,2,10,2,19,-5622.96364227807,2371.225921752484
DS-local+nugget QML,2,10,2,20,-5606.167808163759,2287.506405084946
DS-local+nugget QML,2,10,2,21,-5589.935444739058,2218.2487036983716
DS-local+nugget QML,2,10,2,22,-5574.188580589019,2160.185615505791
DS-local+nugget QML,2,10,2,23,-5558.867164599334,2110.63712874147
DS-local+nugget QML,2,10,2,24,-5543.925959475032,2067.4406630827825
DS-local+nugget QML,2,10,2,25,-5529.332296224422,2028.5127664497618
DS-local+nugget QML,2,10,3,0,-50945.52629218427,189549.71446884036
DS-local+nugget QML,2,10,3,1,-49735.08577070081,184322.4795178595
DS-local+nugget QML,2,10,3,2,-48556.58615711761,179239.8407913234
DS-local+nugget QML,2,10,3,3,-47409.12521401455,174297.7029246757
DS-local+nugget QML,2,10,3,4,-46291.82810421822,169491.5239716505
DS-local+nugget QML,2,10,3,5,-45203.85797081935,164816.711735057
DS-local+nugget QML,2,10,3,6,-44144.39281812297,160270.93790686227
DS-local+nugget QML,2,10,3,7,-43112.63023749665,155850.5694775638
DS-local+nugget QML,2,10,3,8,-42107.791832938026,151552.07764074233
DS-local+nugget QML,2,10,3,9,-41129.122576549635,147372.03418081044
DS-local+nugget QML,2,10,3,10,-40175.921630862686,143307.21845066646
DS-local+nugget QML,2,10,3,11,-39247.47217993763,139354.37048870564
DS-local+nugget QML,2,10,3,12,-38343.05729291453,135510.24563383652
DS-local+nugget QML,2,10,3,13,-37462.00907770481,131771.78635389614
DS-local+nugget QML,2,10,3,14,-36603.67980027064,128136.02050830054
DS-local+nugget QML,2,10,3,15,-35767.441259532316,124600.0587859759
DS-local+nugget QML,2,10,3,16,-34952.68417165391,121161.09227261494
DS-local+nugget QML,2,10,3,17,-34158.81756550268,117816.39013733392
DS-local+nugget QML,2,10,3,18,-33385.26819200188,114563.29743594729
DS-local+nugget QML,2,10,3,19,-32631.47974173468,111399.18746287716
DS-local+nugget QML,2,10,3,20,-31896.912257611453,108321.58830404222
DS-local+nugget QML,2,10,3,21,-31181.04232282045,105328.07625044636
DS-local+nugget QML,2,10,3,22,-30483.361972548522,102416.22256976285
DS-local+nugget QML,2,10,3,23,-29803.37758677484,99583.73774638995
DS-local+nugget QML,2,10,3,24,-29140.610990745194,96828.42053817365
DS-local+nugget QML,2,10,3,25,-28494.59846420489,94148.09597136323
DS-local+nugget QML,2,10,4,0,-7965.065574390288,12049.817540336917
DS-local+nugget QML,2,10,4,1,-7882.255285197257,11440.427725541142
DS-local+nugget QML,2,10,4,2,-7803.809441749204,10855.25694770539
DS-local+nugget QML,2,10,4,3,-7729.559658284545,10295.17947787516
DS-local+nugget QML,2,10,4,4,-7659.332871144719,9760.658441275737
DS-local+nugget QML,2,10,4,5,-7592.95405095385,9251.822969738769
DS-local+nugget QML,2,10,4,6,-7530.273287125855,8768.502865425824
DS-local+nugget QML,2,10,4,7,-7471.336947447911,8310.428048104899
DS-local+nugget QML,2,10,4,8,-7415.732446751652,7877.554498863687
DS-local+nugget QML,2,10,4,9,-7363.288325807166,7469.1265239046215
