method,order,inference_nstep,start,start_type,approx_start_loglik,approx_final_loglik,iterations_completed,elapsed_seconds,converged,gamma,m,epsilon,beta_trend,sigma,tau,bs1,bs2,bs3,bs4,bs5,bs6,omegas1,omegas2,omegas3,omegas4,omegas5,omegas6,S_0,I_0,R1_0,R2_0,R3_0,raw_0,raw_1,raw_2,raw_3,raw_4,raw_5,raw_6,raw_7,raw_8,raw_9,raw_10,raw_11,raw_12,raw_13,raw_14,raw_15,raw_16,raw_17,raw_18,raw_19,raw_20,raw_21,raw_22
DS-local+nugget QML,2,5,0,published-point,-3934.4452246337855,-3912.78865615415,25,30.66557955299504,True,22.174536766985913,0.061898470858507436,19.706773910642433,-0.004200009829208137,3.194823282511605,0.21435272005175227,0.7449156232964398,6.401424370634786,-3.4497413013394924,4.155037035110323,3.3499941174572005,4.600674257444515,-1.7221869345299583,-2.619322810977177,-2.9100851677221926,-4.703270911100404,-8.444765857584489,-4.31210990672322,0.6387820799520751,0.3591963604726663,0.0009388967889980022,0.0010825364386272602,1.26347633269074e-07,3.098944638100825,-2.7822598030134023,2.9809624299720374,-0.4200009829208137,1.161531775661813,-1.5401323962507518,0.7449156232964398,6.401424370634786,-3.4497413013394924,4.155037035110323,3.3499941174572005,4.600674257444515,-1.7221869345299583,-2.619322810977177,-2.9100851677221926,-4.703270911100404,-8.444765857584489,-4.31210990672322,0.0,-0.5756941592114192,-6.522613084958866,-6.380256521396325,-15.43603681912594
DS-local+nugget QML,2,5,1,global-box,-6033.817106786055,-5788.383915476905,25,29.38958218396874,True,13.03203257082307,0.3773279492205551,16.593808421331545,-0.01,1.3661895421763748,0.43570306655376156,1.9898507787991997,5.107704236415225,-2.279978454786559,4.803908844973576,4.930045523627685,2.790133868906502,-3.8283102217499683,-2.42123979743817,-0.5948523555502684,-6.420396658825991,-6.680786237584952,-9.491650244445418,0.2930516224163616,0.12365086104384324,0.16449860866354882,0.1335036298888715,0.28529527798737475,2.5674103705924365,-0.9746405778390385,2.809029639118895,-1.0,0.31202550860645434,-0.8307943076605078,1.9898507787991997,5.107704236415225,-2.279978454786559,4.803908844973576,4.930045523627685,2.790133868906502,-3.8283102217499683,-2.42123979743817,-0.5948523555502684,-6.420396658825991,-6.680786237584952,-9.491650244445418,0.0,-0.8628868217192135,-0.5774466670222465,-0.786220111570086,-0.026824072180273426
DS-local+nugget QML,2,5,2,global-box,-6337.563933740307,-5566.630349869698,25,30.35840340302093,True,20.08513141516684,0.1898635490293972,16.04045298993833,-0.003532695345351821,4.999999999999999,0.21517058030627859,-0.24157885925397335,3.550035278937154,2.764446396756803,5.247944738156605,2.453734886159101,3.4822959673095832,-3.011016298386436,-0.570295608971346,-1.7033982675452672,-5.696578979111982,-2.6554339590641245,-3.9548724849449126,0.20978951258191691,0.1598525068809057,0.2744074016073128,0.26401151363157815,0.09193906529828641,2.9999798107406415,-1.6614496278274058,2.775113843307567,-0.3532695345351821,1.6094379124341003,-1.536324168653929,-0.24157885925397335,3.550035278937154,2.764446396756803,5.247944738156605,2.453734886159101,3.4822959673095832,-3.011016298386436,-0.570295608971346,-1.7033982675452672,-5.696578979111982,-2.6554339590641245,-3.9548724849449126,-0.2685091622561937,-0.5403623111844497,0.0,-0.038621154839370966,-1.0934878453806398
DS-local+nugget QML,2,5,3,global-box,-41294.56558692179,-24164.082109432315,25,29.987592070014216,True,33.441804175111606,0.22948004680597275,13.318620382872037,-0.005734146034430104,3.8593937380267316,0.27053355284062774,-3.8739396357843066,5.2305974050706725,-1.3264138357139186,2.548221939460051,2.525909562853107,7.008829859954581,-4.189178113039074,-3.0238295232933097,-3.1966482977836814,-0.1727866265486177,-0.5637373395588257,-7.751175670005762,0.04563371757464514,0.2899598045871275,0.08954155364150078,0.2707223450517291,0.3041425791449975,3.5098067393661236,-1.4719391952831191,2.5891630848885403,-0.5734146034430103,1.3505101084537288,-1.307359148311677,-3.8739396357843066,5.2305974050706725,-1.3264138357139186,2.548221939460051,2.525909562853107,7.008829859954581,-4.189178113039074,-3.0238295232933097,-3.1966482977836814,-0.1727866265486177,-0.5637373395588257,-7.751175670005762,-1.8968497380203417,-0.047754293298631026,-1.222793797770235,-0.1164028631429244,0.0
DS-local+nugget QML,2,5,4,global-box,-7941.898071983076,-6814.318313078853,25,29.357938851986546,True,13.955760741905207,0.4106760497869545,3.8837333049473237,0.0,2.3768635133579537,0.33899722491841155,3.1680646548317997,5.382337202382624,3.7772832546266035,4.196281784027556,1.0842690883857256,6.039505247385999,-5.555343025396587,-0.39225352175195344,-2.3704116543482048,-9.797057157832107,-2.26304271940635,-6.479075059382407,0.22493221753167528,0.31248505460485426,0.3270835236646366,0.013733265804300801,0.12176593839453302,2.635892379433319,-0.8899505753106104,1.3567968830219184,0.0,0.8657817670231104,-1.0817633577165748,3.1680646548317997,5.382337202382624,3.7772832546266035,4.196281784027556,1.0842690883857256,6.039505247385999,-5.555343025396587,-0.39225352175195344,-2.3704116543482048,-9.797057157832107,-2.26304271940635,-6.479075059382407,-0.37441646092984504,-0.04565891956463536,0.0,-3.170394511820242,-0.988114898100284
DS-local+nugget QML,2,10,0,published-point,-3924.0396659240782,-3901.08286194688,25,54.073072128987405,True,22.098901483454153,0.061412910768499765,19.409585183863708,-0.004200063220651543,3.1863120921761965,0.21306457029892203,0.7462439571994776,6.387970429289232,-3.47947149900635,4.159273872316237,3.344868736813962,4.579368318300129,-1.6739747324984589,-2.6092803699952523,-2.88024852991981,-4.664902691182351,-8.441382947082978,-4.31295804683749,0.6387940070703626,0.3591845191613592,0.0009388259705836995,0.0010825217983358919,1.2599935879555141e-07,3.095527900657258,-2.7901351928307285,2.9657670256935966,-0.42000632206515426,1.158864164058896,-1.5461600122691666,0.7462439571994776,6.387970429289232,-3.47947149900635,4.159273872316237,3.344868736813962,4.579368318300129,-1.6739747324984589,-2.6092803699952523,-2.88024852991981,-4.664902691182351,-8.441382947082978,-4.31295804683749,0.0,-0.5757457973577247,-6.522707186546038,-6.380288717031291,-15.438815774703839
DS-local+nugget QML,2,10,1,global-box,-6045.5132726068,-5767.717476832594,25,53.05677009403007,True,13.166177175781563,0.3769170245098071,17.03597900122545,-0.01,1.3872470097799379,0.43536269904549046,1.9772817102142257,5.084092330478692,-2.3056909828467087,4.784162435335173,4.9223178717486835,2.7857324144185003,-3.833126038289303,-2.4278022506737393,-0.6029285303075421,-6.429413225584533,-6.6888439899673555,-9.496183464921511,0.28989768440155855,0.11495711602477739,0.16883066550068715,0.1364168496714183,0.28989768440155855,2.577651206024983,-0.9757302098968383,2.8353275194484118,-1.0,0.32732121471961345,-0.8315758043948211,1.9772817102142257,5.084092330478692,-2.3056909828467087,4.784162435335173,4.9223178717486835,2.7857324144185003,-3.833126038289303,-2.4278022506737393,-0.6029285303075421,-6.429413225584533,-6.6888439899673555,-9.496183464921511,0.0,-0.9249688936343166,-0.5406318149987749,-0.7538127792237799,0.0
DS-local+nugget QML,2,10,2,global-box,-6069.719841470599,-5529.332296224422,25,53.08975230000215,True,19.86862129548842,0.1893922779490877,16.114419211341776,-0.003535968031839732,4.999999999999999,0.21680096413539862,-0.2405757524021611,3.5510724894746657,2.7655118763668547,5.2473192623064016,2.451800853373776,3.4831603812101006,-3.0103338551644208,-0.4803377387055799,-1.7025805336735078,-5.694934490560501,-2.6545556011339078,-3.954118326055275,0.20800518580629948,0.13918844950809134,0.2783317621381444,0.2783317621381444,0.09614284040932024,2.9891416679202756,-1.663934870185465,2.7797144743661066,-0.3535968031839732,1.6094379124341003,-1.528775562307537,-0.2405757524021611,3.5510724894746657,2.7655118763668547,5.2473192623064016,2.451800853373776,3.4831603812101006,-3.0103338551644208,-0.4803377387055799,-1.7025805336735078,-5.694934490560501,-2.6545556011339078,-3.954118326055275,-0.2912507800025759,-0.6929850243684337,0.0,0.0,-1.0629787846134338
DS-local+nugget QML,2,10,3,global-box,-50945.52629218427,-28494.59846420489,25,53.05109938100213,True,33.43942994202222,0.22945593998257022,13.312143345175455,-0.005898457100007641,3.859281520623369,0.27068019958281575,-3.872951038543748,5.230616180522757,-1.3263909020854188,2.5491101499954416,2.526484637812598,7.009290501146224,-4.18929173205979,-3.023900144946684,-3.196679775645789,-0.17236982743360543,-0.5629475196833847,-7.745547830757393,0.04568801315995545,0.2898480324856318,0.08956646201881954,0.2707732767854212,0.3041242155501721,3.5097357408828653,-1.4720442505593174,2.5886766521380236,-0.5898457100007641,1.3504810315980222,-1.3068172302797711,-3.872951038543748,5.230616180522757,-1.3263909020854188,2.5491101499954416,2.526484637812598,7.009290501146224,-4.18929173205979,-3.023900144946684,-3.196679775645789,-0.17236982743360543,-0.5629475196833847,-7.745547830757393,-1.8956002523317208,-0.04807946201454757,-1.2224552796493395,-0.11615436804149355,0.0
DS-local+nugget QML,2,10,4,global-box,-7965.065574390288,-6836.979879749744,25,54.504850602010265,True,13.95652958287465,0.4106088159596213,3.883137720341156,0.0,2.381062550871879,0.33901391512664814,3.1682414536710906,5.382604371496749,3.7759913820841087,4.196216530814403,1.08443060151714,6.040294997659865,-5.555366267889967,-0.3919548449013255,-2.3857509362934084,-9.7968482804045,-2.262668774900177,-6.478599863892297,0.2248713278503649,0.3125094951117379,0.3271146704590107,0.013736353989127549,0.12176815258975884,2.6359474692135336,-0.8901143037081191,1.3566435176305283,0.0,0.8675468380004255,-1.0817141248728819,3.1682414536710906,5.382604371496749,3.7759913820841087,4.196216530814403,1.08443060151714,6.040294997659865,-5.555366267889967,-0.3919548449013255,-2.3857509362934084,-9.7968482804045,-2.262668774900177,-6.478599863892297,-0.374782421211764,-0.04567593053958633,0.0,-3.1702648894456114,-0.9881919355167199
DS-local+nugget QML,2,20,0,published-point,-3921.183064862524,-3897.325763921876,25,101.67817705997732,True,22.074288146185097,0.061181916767049586,19.236961477669297,-0.004201094661410283,3.182775808003543,0.21283422600136087,0.7475388502581758,6.382460383106802,-3.4933321306281155,4.166504669030816,3.342330739400932,4.569128234965001,-1.665014228204654,-2.5867280082303226,-2.8550536160415323,-4.656513379214298,-8.440110493363093,-4.313414574175512,0.6387644691172396,0.3592144050121408,0.0009386650725165072,0.0010823349673213028,1.2583078173504374e-07,3.0944134989116434,-2.7939036107885706,2.956833505409657,-0.42010946614102834,1.1577537116388759,-1.547241697974886,0.7475388502581758,6.382460383106802,-3.4933321306281155,4.166504669030816,3.342330739400932,4.569128234965001,-1.665014228204654,-2.5867280082303226,-2.8550536160415323,-4.656513379214298,-8.440110493363093,-4.313414574175512,0.0,-0.5756163548352758,-6.522832342186832,-6.380415079358089,-15.440108349250895
DS-local+nugget QML,2,20,1,global-box,-6050.150477572025,-5772.221211979847,25,101.45884629600914,True,13.166344425859766,0.3769045762878921,17.0381287825448,-0.01,1.387249083478685,0.4353898966219386,1.977264433092799,5.083975358330371,-2.3057087499019446,4.784151130584638,4.922306813772387,2.7857293535762597,-3.833249760048993,-2.427908884099839,-0.6029543540447126,-6.429409726472016,-6.6888320170402435,-9.496205985283288,0.2899000096021669,0.11496273239326212,0.168824831597539,0.13641241680486516,0.2899000096021669,2.5776639089541393,-0.9757632368674185,2.8354537021403163,-1.0,0.3273227095487121,-0.8315133352696246,1.977264433092799,5.083975358330371,-2.3057087499019446,4.784151130584638,4.922306813772387,2.7857293535762597,-3.833249760048993,-2.427908884099839,-0.6029543540447126,-6.429409726472016,-6.6888320170402435,-9.496205985283288,0.0,-0.9249280593530282,-0.5406743910867203,-0.7538532954900443,0.0
DS-local+nugget QML,2,20,2,global-box,-6030.414630978665,-5523.941118703749,25,100.18964700301876,True,19.924204616909776,0.189332572914023,16.143975811644452,-0.003544690082473212,4.999999999999999,0.217368421846363,-0.23975947457192265,3.552075984360686,2.7660596634264225,5.247163949643484,2.4513918092329816,3.4838762313480767,-3.009497440785536,-0.474712834639791,-1.7024063829467497,-5.694628389197009,-2.6539040106015497,-3.9534802665729014,0.20689418226564196,0.13828675250779773,0.2766102036838965,0.2766102036838965,0.10159865785876727,2.9919353050293007,-1.664250165236335,2.7815469653224976,-0.3544690082473212,1.6094379124341003,-1.52616156854195,-0.23975947457192265,3.552075984360686,2.7660596634264225,5.247163949643484,2.4513918092329816,3.4838762313480767,-3.009497440785536,-0.474712834639791,-1.7024063829467497,-5.694628389197009,-2.6539040106015497,-3.9534802665729014,-0.29040184244908834,-0.6932798622270941,0.0,0.0,-1.001578983218872
DS-local+nugget QML,2,20,3,global-box,-55204.66572834604,-30467.481919890888,25,100.14974626299227,True,33.438546244000996,0.2294452099742057,13.31050671119447,-0.005914786100638926,3.8591382410937403,0.2706999809238564,-3.8727221659061764,5.230596927992332,-1.3264160842669075,2.549642001266175,2.526811077807136,7.009530846423707,-4.18934137844675,-3.023942532942105,-3.1967206914797655,-0.1721192933855353,-0.5625240416036037,-7.74499943927172,0.04569366168706531,0.2898334893536784,0.0895736403554653,0.270776749654521,0.30412245894927004,3.5097093137069346,-1.4720910144794666,2.5885537016443965,-0.5914786100638926,1.3504439049492862,-1.3067441528315686,-3.8727221659061764,5.230596927992332,-1.3264160842669075,2.549642001266175,2.526811077807136,7.009530846423707,-4.18934137844675,-3.023942532942105,-3.1967206914797655,-0.1721192933855353,-0.5625240416036037,-7.74499943927172,-1.8954708514408718,-0.04812386234818866,-1.2223693615483668,-0.11613576642932351,0.0
DS-local+nugget QML,2,20,4,global-box,-7969.280479037897,-6847.427078415057,25,100.16607461101376,True,13.957085279951594,0.4105846141138309,3.882658420506683,0.0,2.3840373777305777,0.3390190430370857,3.168291635471065,5.382747538278078,3.775142190793697,4.196167829216342,1.0845009357052051,6.040549204860712,-5.5553926293646425,-0.3918013095676301,-2.3949043651800936,-9.796720724536916,-2.2624576813426174,-6.478358321170173,0.22485509150096425,0.3125299930617632,0.32713279144721646,0.013737301882814273,0.12174482210724187,2.6359872846999726,-0.890173246814362,1.3565200789446836,0.0,0.8687954276584582,-1.0816989990287,3.168291635471065,5.382747538278078,3.775142190793697,4.196167829216342,1.0845009357052051,6.040549204860712,-5.5553926293646425,-0.3918013095676301,-2.3949043651800936,-9.796720724536916,-2.2624576813426174,-6.478358321170173,-0.3749100215681412,-0.045665736149129145,0.0,-3.1702512805250804,-0.9884389463526239
