method,inference_nstep,start,iteration,elapsed_seconds,approx_loglik,euler_loglik,euler_se,evaluation_status,eval_particles,eval_replicates
DS-local+nugget QML,10,0,14,32.91000286501367,-3907.445512517412,-3753.1883449713373,0.35663777824271214,ok,5000,4
DS-local+nugget QML,10,0,15,34.84929700498469,-3906.763113299236,-3752.887128851054,0.5301533730412744,ok,5000,4
DS-local+nugget QML,10,0,16,36.78791061299853,-3906.093092299293,-3753.1576558273023,0.32234643769401844,ok,5000,4
DS-local+nugget QML,10,0,17,38.72633448999841,-3905.446956331444,-3753.250928619335,0.21171696326981018,ok,5000,4
DS-local+nugget QML,10,0,18,40.6650529979961,-3904.82999784844,-3752.916241865468,0.4986699863066961,ok,5000,4
DS-local+nugget QML,10,0,19,42.60333305696258,-3904.242107728152,-3753.102273965077,0.6595415917866954,ok,5000,4
DS-local+nugget QML,10,0,20,44.54248682700563,-3903.679617440767,-3753.274676002993,0.5416417052587459,ok,5000,4
DS-local+nugget QML,10,0,21,46.48186321096728,-3903.1372291769226,-3752.5154782958975,0.8594805734209257,ok,5000,4
DS-local+nugget QML,10,0,22,48.4212409859756,-3902.6096602823695,-3753.807333043723,0.3582624773166206,ok,5000,4
DS-local+nugget QML,10,0,23,50.36037387797842,-3902.092778046717,-3754.4333749734988,0.3916062318330898,ok,5000,4
DS-local+nugget QML,10,0,24,52.29955705499742,-3901.584119710028,-3754.1533086167874,0.9805678489087029,ok,5000,4
